s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c,pred,mse,score
n,n,n,y,y,n,n,n,n,y,n,n,s8,0.431769343,0.167721603
n,n,n,n,n,y,y,n,n,y,y,n,s8,0.432558641,0.496455213
n,n,n,y,n,n,n,n,y,n,y,n,s9,0.433596571,0.574296714
n,n,n,y,n,n,n,y,n,y,y,n,s4,0.433786516,0.481038564
n,n,n,n,n,n,n,n,n,n,y,n,s9,0.434302475,0.453905536
n,n,n,n,n,n,y,n,n,y,n,y,s8,0.434842308,0.546398193
n,n,n,n,n,y,n,y,y,n,n,y,s9,0.435973172,0.11539098
n,n,n,n,n,y,n,y,n,y,n,n,s8,0.436481483,0.54221714
n,n,n,y,n,n,y,n,n,n,y,y,s9,0.438908091,0.468929664
n,n,n,n,n,y,n,y,n,y,y,y,s8,0.443433953,0.642958333
n,n,n,n,y,n,n,n,y,y,y,y,s5,0.444279202,0.503365813
n,n,n,n,n,n,n,y,n,y,n,y,s8,0.444548226,0.520081987
n,n,n,y,n,y,n,n,n,y,y,n,s8,0.445158008,0.643427317
n,n,n,y,n,n,n,n,y,n,n,n,s9,0.44558708,0.6428711
n,n,n,n,y,y,n,y,y,n,y,n,s6,0.447899089,0.485437778
n,n,y,n,n,n,n,n,n,y,n,n,s8,0.449974631,0.529978741
n,n,n,n,y,n,y,n,y,n,y,n,s3,0.450526726,0.523319823
n,n,y,n,n,n,y,n,y,n,n,n,s9,0.451134534,0.589346106
n,n,n,n,y,n,n,n,n,y,y,y,s8,0.451299743,0.47225416
n,n,n,n,y,y,y,y,n,y,n,n,s8,0.455704723,0.603774009
n,n,n,n,n,n,y,n,n,y,y,y,s8,0.455724251,0.467080182
n,n,n,n,y,n,n,n,n,y,n,y,s8,0.456197157,0.64054481
n,n,n,y,n,n,y,y,n,y,n,n,s5,0.457475867,0.400490065
n,n,y,n,n,n,n,n,n,n,y,n,s3,0.458130922,0.414792781
n,n,n,n,y,n,n,n,y,n,y,n,s9,0.458455276,0.556854776
n,n,n,n,n,n,n,n,n,y,n,y,s8,0.459455009,0.496249993
n,n,n,n,n,n,n,y,n,y,y,y,s5,0.461361404,0.501211632
n,n,n,n,n,n,n,n,n,n,y,n,s2,0.462972142,0.520606792
n,n,y,n,n,n,n,y,y,n,n,n,s9,0.463797218,0.647100531
n,n,n,n,n,n,y,n,y,n,y,n,s7,0.464985192,0.421404786
n,n,n,y,n,n,y,n,n,n,n,n,s5,0.466925849,0.489421877
n,n,n,n,y,n,n,y,n,y,n,n,s8,0.467837724,0.505979071
n,n,n,n,y,n,n,n,n,n,y,y,s0,0.468513115,0.342742561
n,n,n,n,y,n,n,y,n,n,y,y,s9,0.469000988,0.44826561
n,n,n,n,y,y,n,n,n,y,n,n,s8,0.470014403,0.629657673
n,n,n,n,n,n,y,n,n,y,y,n,s8,0.470313138,0.452504918
n,n,n,n,y,n,n,n,n,y,n,n,s8,0.472893729,0.538470394
n,n,n,y,n,y,n,n,y,n,y,n,s9,0.472933517,0.488269938
n,n,n,y,n,y,n,n,n,y,n,n,s8,0.476953829,0.629849626
n,n,y,n,n,n,n,n,n,y,n,y,s8,0.477208238,0.555046535
n,n,n,n,n,n,y,n,y,n,y,y,s4,0.477660675,0.353261339
n,n,y,n,n,n,y,n,n,n,y,n,s8,0.479338693,0.276341417
n,y,n,n,n,n,n,n,n,y,n,n,s3,0.479595089,0.437425958
n,n,n,n,n,n,y,y,n,y,n,y,s8,0.480147804,0.481649984
n,n,n,n,y,y,n,y,n,n,y,n,s3,0.48444066,0.51462123
n,n,n,y,n,y,n,n,y,n,n,n,s9,0.48553301,0.477967968
n,n,n,n,n,y,n,n,y,n,n,n,s9,0.486955337,0.586247922
n,n,n,n,y,y,n,y,y,n,n,y,s9,0.487064195,0.535629826
