s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c,pred,mse,score
n,n,n,n,y,n,n,y,n,n,y,y,s3,0.633763425,0.313251572
n,n,n,n,n,n,y,y,y,n,y,y,s5,0.634076185,0.417124542
n,n,n,y,n,n,n,n,y,n,y,n,s5,0.634199846,0.261885063
n,n,n,y,n,n,y,n,y,n,n,n,s5,0.634220162,0.323078653
n,n,n,y,y,n,y,n,n,y,n,n,s5,0.634831682,0.385182456
n,n,y,n,n,y,n,n,n,n,n,y,s6,0.634850177,0.216388299
n,n,y,n,n,n,y,n,n,n,n,y,s9,0.635052758,-0.198413314
n,n,n,n,n,n,y,n,n,y,n,n,s5,0.635667707,0.350536789
n,n,n,n,n,n,n,y,n,y,y,n,s3,0.637222493,0.131141396
n,n,n,y,n,n,n,y,n,n,y,y,s9,0.638993837,0.312971014
n,n,y,n,n,n,n,n,n,n,n,y,s6,0.639144923,0.256469875
n,n,n,n,n,n,y,y,n,n,y,n,s5,0.639732818,0.053532416
n,n,n,n,y,n,y,n,y,n,y,y,s5,0.639943756,0.342150538
n,n,n,y,n,n,y,n,n,y,n,n,s8,0.64071476,0.255260695
n,n,n,n,n,n,n,n,n,n,y,n,s4,0.641087043,0.401057949
n,n,n,n,n,y,y,n,n,y,n,n,s8,0.641530045,0.244082582
n,n,n,y,y,n,y,n,n,n,n,n,s5,0.641550068,0.291136542
n,n,y,n,n,n,n,n,y,n,y,n,s4,0.643413211,0.09966883
n,n,n,n,n,n,y,y,y,n,n,n,s5,0.644344769,0.209764403
n,n,n,n,n,n,y,n,n,n,y,y,s5,0.645264528,0.334978325
n,n,n,n,n,y,n,n,y,y,y,n,s6,0.645429321,0.250929961
n,n,n,n,n,n,y,n,n,n,y,n,s7,0.645582046,0.211006267
n,n,n,n,n,y,n,n,y,y,n,n,s3,0.645885898,-0.280865759
n,y,n,n,n,n,n,n,n,y,n,n,s8,0.646138056,0.317699907
n,n,n,n,y,n,y,n,n,y,y,y,s7,0.646344619,0.097419355
n,n,n,y,n,n,n,y,n,y,n,n,c,0.647434051,0.355499445
n,n,n,n,n,n,n,n,y,y,y,n,s2,0.647960459,0.191014145
n,n,n,n,y,y,n,n,y,n,n,n,s7,0.648536255,0.178085321
n,n,n,y,n,y,y,y,n,n,n,n,s8,0.648538862,0.147449977
n,n,n,n,n,n,n,y,y,n,y,n,s4,0.649059805,0.184592887
n,n,n,n,y,y,y,n,y,y,n,n,c,0.649083563,0.159029655
n,n,n,n,y,n,y,n,y,y,n,n,s5,0.649606464,0.267315006
n,y,n,n,n,n,n,n,n,n,n,n,s0,0.649822524,0.237366215
n,n,y,n,n,n,n,n,y,n,y,n,s6,0.650037885,0.23107332
n,n,y,n,n,n,y,n,n,n,y,n,s5,0.650518298,0.332305763
n,n,n,y,n,n,y,n,n,n,y,n,s5,0.650607014,0.437230487
n,n,n,n,y,y,n,n,n,n,y,n,s3,0.650896375,0.382326023
n,n,n,n,y,n,n,y,n,n,n,y,s3,0.651096591,0.04997135
n,n,n,n,n,n,y,n,n,n,n,y,s5,0.65113606,0.209165048
n,n,n,n,y,y,n,n,n,y,n,n,s7,0.651767076,0.405016666
n,n,n,y,n,y,n,n,n,n,y,y,s9,0.652750844,0.397035452
n,n,n,y,n,n,n,n,n,n,y,y,s0,0.652834655,0.43500399
n,n,n,n,y,n,n,n,n,n,y,y,s2,0.654674228,0.349494949
n,n,n,n,n,n,n,y,n,n,y,n,s5,0.654983804,0.28727638
n,n,n,n,n,n,n,y,n,n,y,n,s2,0.65728457,0.399276877
n,n,n,y,y,n,y,n,n,n,y,n,s9,0.657775308,0.322245279
n,n,n,n,n,n,n,n,n,y,n,n,s6,0.657829966,0.037538571
n,n,n,y,n,n,y,y,y,n,n,n,s5,0.658341992,0.329758047
n,n,n,n,n,n,y,n,y,n,y,y,s9,0.658646704,0.481903394
n,n,n,n,n,n,y,y,y,n,n,n,s2,0.659336698,0.179004493
n,n,n,n,n,n,y,y,n,y,y,n,s5,0.659696859,0.24576468
n,n,n,n,n,y,y,n,y,y,n,n,s3,0.661100322,0.118671032
n,n,n,n,n,y,y,y,n,y,n,n,s3,0.661279597,0.346109712
n,n,n,n,y,n,n,n,n,n,y,y,s1,0.66157465,0.156919476
n,n,y,n,n,y,n,n,n,n,y,n,s9,0.662043715,0.288832579
n,n,n,n,n,n,y,n,n,n,n,n,s4,0.662062141,0.258858635
n,n,n,y,n,n,n,n,n,y,y,n,s8,0.662258459,0.502522629
n,n,n,n,n,y,y,n,y,n,y,y,s4,0.66227262,0.223495428
n,n,n,n,n,y,y,n,n,y,y,n,s4,0.663132761,0.436197571
n,n,n,n,n,n,y,y,y,y,y,y,s5,0.663414039,0.390155678
n,n,y,n,n,y,n,n,y,n,n,n,s7,0.664330078,0.362411805
n,n,n,y,n,n,n,n,y,y,n,y,s7,0.665074395,0.361697449
n,n,n,n,n,n,y,n,n,n,y,y,s1,0.665093788,0.371716409
n,n,n,n,y,n,n,n,n,n,y,n,s8,0.665866896,0.226024934
n,n,n,n,n,n,y,y,y,n,n,y,s5,0.665976997,0.427634628
n,n,n,n,n,n,y,n,y,n,y,y,s5,0.666063909,0.427804878
n,n,n,n,n,y,n,n,y,y,y,n,s4,0.667570622,0.40329035
n,n,y,n,n,y,n,n,y,n,n,n,s6,0.668725815,0.363911976
n,n,n,y,n,n,y,y,n,n,y,n,s4,0.668877329,0.240377667
n,n,n,y,n,y,y,n,n,n,y,n,s4,0.668989077,0.310227662
n,n,n,n,y,n,y,n,n,y,n,n,s5,0.669874989,0.361106273
n,n,n,n,y,n,y,n,n,n,y,y,s5,0.670227992,0.309250513
n,n,n,n,n,n,n,n,n,y,y,y,s4,0.67051853,0.164333245
n,n,n,n,y,y,n,y,n,n,n,n,c,0.670713467,-0.027876816
n,n,n,n,n,n,n,n,y,y,n,n,s4,0.671175064,0.010771274
n,n,n,n,y,n,y,n,y,n,n,n,s5,0.671322874,0.403901754
n,n,n,y,n,y,n,y,n,n,y,n,s9,0.671423824,0.145794099
n,n,y,n,n,n,n,n,n,n,y,y,s4,0.671634553,0.301371681
n,n,n,n,y,n,n,n,y,y,n,y,s5,0.672277987,0.226091936
n,n,n,n,n,n,n,y,n,n,n,n,s9,0.672930354,0.258345085
n,n,y,n,y,n,n,y,n,n,n,n,s3,0.673543979,0.432810798
n,n,n,n,n,n,y,y,y,n,y,n,s5,0.673656883,0.206300471
n,n,n,n,n,n,y,n,n,n,y,y,s2,0.674305418,0.073996245
n,n,n,n,y,y,n,n,n,y,y,y,s6,0.674410061,0.082396313
n,n,n,n,y,n,y,n,n,y,y,y,s8,0.674491555,0.447711864
n,n,n,n,n,n,y,n,n,n,y,n,s5,0.675293451,0.204838918
n,n,n,n,y,y,n,n,n,y,y,n,s6,0.675412881,0.213658977
y,n,n,n,n,n,n,n,n,n,n,n,s8,0.675459185,-0.069893333
n,n,n,y,y,n,y,n,n,n,n,y,s7,0.675567662,0.133141929
n,n,n,y,y,n,y,y,n,n,n,n,qc,0.676176511,0.0447495
n,n,n,n,n,y,n,y,y,n,y,n,s3,0.67641867,0.000838477
y,n,n,n,n,n,n,n,n,n,n,y,s1,0.676441549,0.30609082
n,n,n,n,y,n,y,n,n,n,y,y,s8,0.6779439,0.412524047
n,n,n,y,n,n,n,n,n,y,n,n,s5,0.678350769,0.077936592
n,n,n,y,n,y,n,y,n,n,n,y,s9,0.679204749,0.080718364
n,n,y,n,y,n,n,n,y,n,n,n,s7,0.679237073,0.30857163
n,n,n,n,y,y,n,n,y,y,n,y,s7,0.680854062,0.306925619
n,n,y,n,n,y,n,n,n,y,n,n,s8,0.68193622,0.427049474
n,n,n,n,n,n,n,y,n,n,y,n,s3,0.682111821,0.318469671
n,n,n,n,y,n,y,n,n,y,y,n,s5,0.682511404,0.41241821
n,n,n,n,n,y,n,n,n,n,y,y,s3,0.683057361,0.245602564
n,n,n,y,y,n,n,n,n,y,n,y,s8,0.683366379,0.440444968
n,n,n,y,y,n,n,n,n,n,y,y,s8,0.683790122,0.203994746
n,n,n,y,n,n,n,y,n,y,y,n,s6,0.684186218,0.242286509
n,n,n,n,y,y,n,y,n,y,n,n,s6,0.684850491,0.189893656
n,n,n,y,n,y,y,y,n,n,n,n,qc,0.685634377,0.154233171
n,n,n,n,n,y,n,n,n,n,y,n,s6,0.685716186,0.281043535
n,n,y,n,y,n,n,n,y,n,n,n,s6,0.685824691,0.202166365
n,n,n,n,n,n,n,y,y,y,n,n,s3,0.686033333,-0.474535169
n,n,n,n,n,n,y,y,n,y,n,y,s5,0.686163466,0.341504409
n,n,n,n,n,y,y,y,n,n,y,y,s9,0.686374142,0.448395396
n,n,n,y,n,n,n,n,n,y,y,n,s7,0.686413776,0.402564045
n,n,n,y,n,y,n,y,n,n,y,n,s8,0.686476098,0.202069683
n,n,n,n,n,n,n,y,y,n,n,n,s5,0.686607156,0.020977593
n,n,n,y,n,n,n,n,y,n,n,n,s7,0.686746432,0.304371197
n,n,n,y,n,n,y,n,n,y,n,y,s8,0.686825689,0.274735132
n,n,n,n,y,y,y,y,n,n,y,n,s9,0.687974827,0.206394558
n,n,n,y,n,n,y,n,y,n,y,n,s4,0.688607268,0.378579654
n,n,n,n,y,n,n,n,n,n,n,n,s0,0.689729588,0.264553382
n,n,n,n,n,n,n,n,n,n,y,y,s2,0.690699721,0.217142261
n,n,n,y,y,n,y,n,n,y,n,n,c,0.690981054,0.073388226
n,n,n,n,n,n,n,n,n,n,y,n,s0,0.691077711,0.40333509
n,n,n,y,n,n,n,n,n,n,y,y,s9,0.691176199,0.208088803
n,n,n,n,n,n,y,n,y,n,n,y,s5,0.691843,0.356955895
n,n,y,y,n,n,n,y,n,n,n,n,s9,0.691952241,0.318389083
n,n,n,n,n,y,y,y,n,n,y,n,s8,0.692918672,-0.192880982
n,n,n,n,n,y,y,n,y,y,y,y,s7,0.693007096,0.344073648
n,n,y,y,n,n,n,y,n,n,n,n,c,0.694030814,0.363257093
n,n,n,n,y,y,n,y,y,y,n,n,s6,0.694271386,0.405843279
n,n,n,n,y,n,y,n,y,n,n,n,s9,0.69454353,0.306046303
n,n,n,y,n,n,y,n,n,n,y,n,s7,0.694768489,0.241103918
n,n,n,n,n,y,y,y,n,n,n,n,s8,0.695101554,0.342361252
n,n,n,n,n,n,y,y,n,n,y,n,s9,0.695485164,0.402219621
n,n,n,n,y,y,n,y,n,y,n,n,s3,0.695704556,0.2660726
n,n,n,n,n,n,y,n,y,n,y,n,s3,0.695716875,0.07252286
n,n,n,y,n,n,n,n,y,y,n,n,s7,0.695775248,0.210652674
n,n,n,n,n,y,n,n,n,n,n,n,s0,0.696030029,0.110975893
n,n,n,y,n,n,y,y,n,n,n,n,s5,0.696505037,0.358561934
n,n,n,n,y,y,n,y,n,n,n,y,s6,0.697423089,0.158845543
n,n,y,n,n,n,y,n,y,n,n,n,s5,0.697978379,0.283592571
n,n,n,n,n,y,n,n,y,n,y,n,s7,0.698841831,0.292119356
n,n,n,n,y,n,n,y,n,y,n,y,s6,0.699153622,0.263292105
n,n,n,y,n,n,n,n,n,n,y,n,s9,0.700268098,0.353142411
n,n,n,n,y,n,y,y,y,n,n,n,s5,0.700278025,0.252573204
n,n,n,n,n,y,n,n,n,y,n,n,s8,0.700635013,0.426305041
n,n,y,n,n,n,y,n,n,y,n,n,s3,0.700844724,0.255728316
n,n,n,n,n,n,y,n,n,y,n,n,s2,0.700873548,0.403756255
n,n,n,y,y,y,n,n,y,n,n,n,s7,0.700873626,0.290061281
n,n,y,n,n,n,n,n,y,n,n,n,s7,0.700921507,0.204814315
n,n,y,n,n,n,n,y,n,n,y,n,s4,0.701249992,0.345825032
n,n,n,n,n,n,y,n,y,n,y,n,s2,0.701381424,0.340595201
n,n,n,y,n,n,y,n,n,y,n,n,s4,0.701417576,0.34954048
n,n,y,y,n,n,n,n,n,n,y,n,s9,0.701552557,0.223193429
n,n,n,n,y,n,n,n,y,n,y,y,s5,0.701721494,-0.063251153
n,n,y,n,n,n,n,n,y,n,y,n,s3,0.702302552,0.283843445
n,n,y,n,n,n,y,y,n,n,n,n,s9,0.702774236,0.28149288
n,n,n,y,n,n,y,n,y,n,n,n,s7,0.703673866,0.258932851
n,n,n,n,n,n,y,y,y,y,n,y,s5,0.704196449,0.448605066
n,n,n,n,n,n,y,n,n,n,y,n,s2,0.70622391,0.138415503
n,n,n,n,y,y,n,n,y,n,n,n,s3,0.706314099,0.205244429
n,n,n,n,n,y,n,n,y,n,y,y,s6,0.706328705,0.301126005
n,n,y,n,n,y,n,n,n,y,n,n,s6,0.706577738,0.116775923
n,n,n,y,n,n,y,y,n,n,y,n,s9,0.707042999,0.177202206
n,n,n,n,n,n,n,n,y,n,y,y,s4,0.707061334,0.314563955
n,n,n,n,y,n,n,n,y,y,n,n,s2,0.707367465,0.321311716
n,n,n,n,y,n,y,y,n,n,y,y,s5,0.708272563,0.368579041
n,n,n,n,n,y,y,n,n,n,n,y,s7,0.708375675,0.278910034
n,n,n,n,y,n,y,n,n,n,y,y,s7,0.709639267,0.355049724
n,n,n,n,n,y,n,y,n,n,y,y,s4,0.709957865,0.397747707
n,n,y,n,y,n,n,y,n,n,n,n,s6,0.710259555,0.418778864
n,n,n,n,y,n,n,n,y,n,y,n,s3,0.710312852,0.24343515
n,n,n,n,n,n,y,n,n,n,y,y,s3,0.710458467,0.004820987
n,n,n,y,y,y,n,n,y,n,n,n,s6,0.710659869,0.330922261
n,n,y,y,n,n,n,n,n,y,n,n,s5,0.710662007,-0.001936205
n,n,n,n,y,y,y,n,y,n,y,n,c,0.710786408,0.185383312
n,n,n,n,n,n,y,y,n,n,y,n,s2,0.711604914,0.236068547
n,n,n,n,n,n,n,y,n,n,n,n,s2,0.713177347,0.146096368
n,n,n,n,y,n,y,y,n,n,y,n,s3,0.713275978,0.146580167
n,n,n,n,n,y,n,n,y,n,y,n,s6,0.713368547,0.226221463
n,n,n,n,y,y,y,y,n,n,n,n,s3,0.713752755,-0.231716761
n,n,n,y,n,n,n,n,y,n,y,y,s4,0.714874563,0.44352649
n,n,n,y,n,n,n,y,n,n,y,n,s9,0.714890115,0.298123898
n,n,n,n,y,n,y,y,n,n,n,n,s2,0.715175296,0.378000103
n,n,n,y,n,n,n,n,y,n,y,n,s2,0.715526175,0.093947439
n,n,n,n,n,y,n,n,y,n,n,y,s6,0.715932081,0.025901369
n,n,n,y,n,n,n,n,y,y,y,n,c,0.716543376,0.035456503
n,n,n,n,n,y,n,n,n,y,y,y,s4,0.717097181,0.407460457
y,n,n,n,n,n,n,n,n,n,n,n,s2,0.717841884,-0.061441209
n,y,n,n,n,n,n,y,n,n,n,n,s9,0.717880737,0.17189694
n,n,n,n,y,n,n,n,y,n,y,n,s6,0.718810231,0.142161769
n,n,n,n,n,y,n,n,n,y,y,n,s7,0.718883159,0.431458535
n,n,n,y,n,n,n,y,n,n,y,y,s5,0.719061322,0.436965679
n,n,n,n,y,n,n,n,n,n,n,n,s1,0.719572101,0.320253246
n,n,y,n,n,y,n,y,n,n,n,n,s8,0.720368175,0.157607968
n,n,n,n,y,y,n,y,y,n,n,n,s3,0.720513922,0.239900177
n,y,n,n,n,n,n,n,n,n,y,n,s9,0.721047489,0.262810546
n,n,n,n,n,y,n,n,y,y,y,n,s3,0.721313058,0.254396516
n,n,n,n,y,y,n,n,n,y,y,n,s3,0.721477959,0.324279191
n,n,y,n,n,y,n,n,n,n,n,n,s3,0.721715166,0.101283109
n,n,n,n,n,y,y,y,n,n,n,y,s8,0.721756647,-0.089637453
n,n,n,y,y,n,y,y,n,n,n,n,s5,0.722010951,0.196929746
n,n,n,y,n,y,n,y,n,n,y,n,s6,0.722288027,0.167619048
n,n,n,y,n,n,n,n,n,y,y,n,s4,0.722479405,0.269885995
n,n,n,n,y,y,n,y,n,n,n,n,s6,0.724655512,-0.132037044
n,n,n,n,n,y,n,n,n,y,n,n,s6,0.725043523,0.286434794
n,n,n,n,y,n,n,n,n,y,y,y,s6,0.725233924,0.282420316
n,n,n,n,y,n,n,n,n,y,y,y,s5,0.725685998,0.116482717
n,n,n,n,y,n,n,y,n,n,n,n,s1,0.725867773,-0.176087633
n,n,n,y,n,y,y,n,n,n,y,n,s9,0.725921845,0.23339611
n,n,n,n,n,y,n,y,y,n,n,y,s3,0.726042013,0.259635686
n,n,n,n,n,y,n,n,n,y,n,n,c,0.726303649,0.140956962
n,n,n,y,n,y,n,n,n,n,y,y,s6,0.726406562,0.177638037
n,n,n,n,n,n,y,y,n,y,n,y,s3,0.726807756,-0.15819355
n,n,n,n,y,y,n,n,n,n,y,n,s7,0.727131279,0.291389547
y,n,n,n,n,n,n,n,n,n,n,n,s1,0.727190591,0.259057473
n,n,n,y,n,y,n,n,n,y,y,n,s4,0.727598487,0.238101646
n,n,n,y,n,n,n,y,n,n,n,y,s5,0.727864116,0.188621385
n,n,n,n,y,y,n,y,n,y,y,n,s6,0.728878755,0.19279101
n,n,n,n,y,y,y,y,y,n,n,n,s9,0.728951188,0.271667866
n,n,n,y,y,n,n,n,y,y,n,n,s7,0.729407895,0.222875979
n,n,n,n,y,n,y,n,y,n,n,y,s5,0.730090672,0.114877402
n,n,n,n,y,n,y,n,y,y,y,n,s5,0.73030257,0.171176689
n,n,y,n,n,n,n,n,n,y,n,n,s5,0.731021209,0.292025466
n,n,n,y,n,n,y,n,y,y,n,n,s5,0.732196617,0.248470853
n,n,n,y,n,y,y,n,n,y,n,n,s4,0.732706349,0.35638691
n,n,n,n,n,n,n,n,y,n,y,y,s0,0.734258909,0.153839296
n,n,n,n,n,y,y,y,y,y,y,n,c,0.734567288,0.105285392
n,n,n,y,y,y,n,n,n,y,n,n,s7,0.734891074,0.395550328
n,n,n,n,n,n,n,n,n,n,y,y,s4,0.735107453,0.247418998
n,n,n,n,n,n,n,n,y,n,n,y,s1,0.735915706,0.216284075
n,n,n,n,y,n,n,n,n,n,n,n,s9,0.737524906,0.072631883
n,n,n,n,n,n,y,n,n,y,n,y,s5,0.738291679,0.257772792
n,n,n,n,y,y,n,y,y,n,n,n,qc,0.738371433,0.275801738
n,n,n,n,n,n,n,n,n,n,n,y,s1,0.738492965,0.149664442
n,n,n,y,n,n,n,y,y,y,n,n,c,0.738618998,0.130986254
n,n,n,y,n,n,n,y,n,n,y,n,s2,0.738718695,0.215967694
n,n,n,n,n,n,n,n,n,y,y,y,s3,0.73910056,0.176100863
n,n,n,y,n,n,y,n,n,n,n,y,s9,0.739309603,-0.08073143
n,n,n,n,n,n,y,y,n,n,y,n,s8,0.739670913,0.404435916
n,n,n,n,n,n,n,y,y,y,y,y,s5,0.739881734,0.305878505
n,n,n,n,n,n,y,n,y,n,n,n,s5,0.739989589,0.267798652
n,n,n,y,n,n,n,n,y,y,y,n,s7,0.740023906,-0.276040752
n,n,n,n,y,y,n,n,n,n,y,y,s6,0.740580113,0.212898668
n,n,n,y,n,n,n,n,n,y,y,n,s2,0.740870233,-0.029518335
n,n,n,n,n,y,n,y,y,y,y,n,s4,0.741989373,0.1966414
n,n,n,n,n,n,n,n,y,n,n,n,s3,0.74220245,-0.09633303
n,n,n,n,y,n,y,n,y,n,y,y,s7,0.742441603,0.029157393
n,n,n,n,y,n,y,y,y,n,n,n,s9,0.74250582,0.210968843
n,n,n,n,y,y,n,n,y,n,y,n,s3,0.742886149,0.289395508
n,n,n,n,n,y,n,n,n,n,n,n,c,0.742949359,0.042377859
n,n,n,y,n,y,n,n,n,n,y,y,s7,0.743314278,0.258936027
n,n,n,n,y,n,n,y,y,y,n,n,s6,0.743364667,0.12138154
n,n,n,y,n,n,n,n,n,n,y,y,s8,0.743535718,0.134444444
n,n,y,n,n,n,n,n,n,y,n,y,s5,0.743974753,0.350874694
n,n,n,n,n,n,n,y,n,n,y,y,s4,0.744256891,0.259026822
n,n,y,y,n,n,n,n,y,n,n,n,s5,0.744352347,0.208896028
n,n,n,n,y,n,n,n,y,y,y,y,s6,0.745197377,0.378123233
n,n,y,n,y,n,n,y,n,n,n,n,s5,0.746748332,0.224013617
n,n,y,n,n,n,n,n,n,n,y,n,s4,0.746849633,0.285203861
n,n,n,n,y,y,n,y,n,n,y,y,s9,0.747200208,0.002339708
n,n,y,y,y,n,n,n,n,n,n,n,s5,0.747314412,0.050416341
n,n,n,n,n,y,y,n,n,n,y,n,s3,0.747343491,-0.663592377
n,n,n,y,n,n,n,y,n,y,y,n,s5,0.747477847,0.232786145
n,n,y,n,n,n,n,y,y,n,n,n,s3,0.747499517,0.038314426
n,n,n,n,y,n,n,y,y,n,y,y,s6,0.747537219,-0.081915882
n,n,n,n,n,y,y,y,n,y,y,n,s4,0.747809712,0.213434004
n,n,n,y,n,y,n,n,n,y,n,y,s7,0.747973606,0.16411673
n,n,y,n,n,y,n,n,n,n,y,n,s8,0.748069473,0.284364686
n,n,n,n,n,n,n,y,n,y,y,n,s4,0.74854134,0.337214714
n,n,n,n,y,n,n,y,y,n,y,n,s5,0.749381869,0.254093753
n,n,n,y,y,n,y,n,y,n,n,n,s9,0.74973027,0.216616936
n,n,n,n,y,n,n,n,n,y,n,y,s7,0.751063404,0.314371307
n,n,n,n,n,n,n,n,n,y,n,n,s0,0.751269148,0.375721621
n,n,y,n,n,n,n,y,n,n,n,y,s5,0.751520399,0.161785384
n,n,n,n,y,y,n,n,n,y,n,n,s2,0.752544362,0.102983831
n,n,n,n,y,y,n,y,y,n,y,n,s9,0.752962678,0.335
n,n,n,y,n,y,y,n,n,y,n,n,c,0.753038084,0.121801915
n,y,n,n,n,n,n,n,y,n,n,n,s3,0.753069749,0.312189122
n,n,n,y,y,n,n,y,n,n,y,n,s6,0.754032349,0.216096721
n,n,n,n,n,n,n,n,y,y,y,y,s4,0.755356486,0.164860106
n,n,n,y,n,y,n,n,n,n,y,n,s8,0.755436824,0.15617333
n,n,n,n,y,n,n,n,n,n,y,y,s3,0.7556198,0.21384058
n,n,n,n,n,y,n,y,n,y,n,y,s6,0.756394246,0.251588865
n,n,n,n,y,n,n,n,n,y,y,n,s3,0.757638968,0.281031678
n,n,n,n,n,y,n,n,y,y,n,n,s6,0.758210685,0.286153739
n,n,y,n,n,n,y,n,n,n,n,n,s5,0.758235231,0.386182536
n,n,y,y,n,n,n,y,n,n,n,n,s5,0.758369007,0.338315565
n,n,n,n,n,n,n,n,y,n,y,n,s1,0.759070845,0.295771412
n,n,n,n,n,n,y,y,n,y,y,y,s4,0.759326911,0.210154867
n,n,n,n,n,n,n,y,y,n,n,n,s3,0.759525304,0.248961828
n,n,y,n,n,n,n,n,n,y,y,n,s6,0.759663317,0.153618573
n,n,n,n,n,n,y,n,y,y,n,y,s5,0.759921728,0.220013703
n,n,n,y,n,n,n,y,n,n,n,y,s4,0.759978697,0.052839104
n,n,n,n,n,y,y,n,n,y,n,n,c,0.760310004,0.08416752
n,n,n,n,n,y,n,n,y,y,n,n,s7,0.760538388,0.308790443
n,n,n,n,y,n,n,n,y,n,y,n,s2,0.760693894,-0.073831573
n,n,n,y,n,n,n,y,y,n,y,n,s4,0.760730481,0.320019179
n,n,n,y,n,y,n,n,y,n,y,n,s6,0.760736622,0.271226566
n,n,n,n,n,n,n,y,y,n,y,y,s5,0.761448736,0.060983484
n,n,n,n,n,n,n,y,n,y,n,n,s4,0.762923834,0.040906009
n,n,n,n,y,n,n,y,n,n,n,n,s3,0.763079166,0.420005309
n,n,n,n,n,n,n,n,y,n,n,y,s7,0.763185349,0.098100889
n,n,n,n,n,n,n,n,y,n,n,y,s0,0.765219434,0.217159335
n,n,n,y,y,n,n,n,n,y,n,y,s5,0.765556457,-0.055608333
n,n,n,n,y,y,n,n,n,n,n,n,c,0.765570635,-0.058709037
n,n,n,n,n,y,n,y,y,n,n,y,s6,0.766147874,-0.108851214
n,n,n,n,y,y,n,n,n,y,y,n,s7,0.767906533,0.353526134
n,n,n,n,n,y,y,n,n,n,n,n,s9,0.768103324,-0.050382272
n,n,y,n,n,n,n,y,n,n,y,n,s8,0.768645207,0.094302278
n,n,n,y,n,n,y,n,n,y,n,n,s5,0.768653516,0.239436407
n,n,n,y,y,y,n,n,y,n,n,n,c,0.769049811,0.280766246
n,n,n,n,y,y,n,y,y,n,n,y,qc,0.769062921,0.145371445
n,n,n,n,y,y,n,n,y,y,n,n,s3,0.769067633,0.19752321
n,n,n,y,n,n,y,n,y,n,n,y,s4,0.769318953,0.109642037
n,n,n,n,y,n,n,y,n,y,y,n,s5,0.769856988,0.209816117
n,n,y,n,n,y,n,y,n,n,n,n,c,0.769928023,0.093396987
n,n,n,y,n,n,n,y,n,n,n,n,s5,0.771820128,0.247795649
n,n,n,n,y,y,y,n,n,y,y,n,s7,0.772008365,0.350072944
n,n,y,n,n,y,n,n,n,n,n,y,s7,0.772033713,0.039334975
n,y,n,n,n,n,n,n,n,n,y,y,s2,0.772964914,0.03171059
n,n,y,n,n,n,n,y,n,y,n,n,s5,0.773044306,0.163793816
n,n,n,n,n,y,n,y,n,n,n,n,s8,0.773429108,-0.059992031
n,n,n,n,n,n,y,n,y,n,y,n,s4,0.773580904,0.15070228
n,n,n,y,n,n,n,n,y,n,n,y,s7,0.773713945,0.176737934
n,n,n,y,y,y,n,n,n,n,y,n,s9,0.773771595,0.143227612
n,n,n,n,y,n,n,n,y,n,n,n,s3,0.774006508,0.165691309
n,n,n,n,y,n,y,y,n,y,n,y,s5,0.775330694,0.32934557
n,n,y,n,n,n,n,n,n,n,y,y,s3,0.775734372,-0.090871695
n,n,n,y,n,n,n,n,n,n,n,y,qc,0.776731008,-0.139401974
n,n,n,y,n,y,n,n,n,y,y,n,s7,0.777297293,0.358103525
n,n,n,n,y,n,y,n,y,n,n,n,s2,0.777576157,0.226964729
n,n,n,n,n,n,n,n,n,y,n,n,s8,0.777794241,-0.027708737
n,n,n,y,n,n,y,n,n,n,y,n,s8,0.778470891,0.229535674
n,n,n,y,y,n,y,n,n,n,n,y,s5,0.77981217,0.350109528
n,n,n,y,n,y,n,n,n,y,n,n,s2,0.780116673,0.098296482
n,n,n,n,n,n,n,y,n,n,n,y,s2,0.780611563,0.154214755
n,n,n,n,n,n,y,y,y,y,y,n,s4,0.78074486,0.250857143
n,n,n,y,n,n,n,n,n,n,y,n,s0,0.782584455,0.278978848
n,n,n,n,y,n,y,n,y,n,y,n,s5,0.782727198,0.364561873
n,n,n,y,n,y,y,n,y,n,n,n,qc,0.782883786,0.067690007
n,n,n,y,n,n,y,n,n,y,y,n,c,0.78292601,0.170696095
n,n,n,n,n,y,y,n,y,n,y,y,s9,0.782984432,0.220305742
n,n,n,y,n,n,y,n,n,y,y,n,s8,0.783233381,0.358671728
n,n,y,n,n,n,n,n,n,n,n,y,s0,0.783488021,-0.11792333
n,n,n,y,n,y,n,n,n,n,n,n,s4,0.783725126,-0.006092071
n,n,n,n,n,n,y,n,n,n,n,n,s0,0.784117596,0.197825992
n,n,n,y,n,y,n,n,n,n,y,y,s8,0.784121014,0.243320849
n,n,n,n,y,y,n,n,y,n,y,n,s6,0.784184814,0.383241701
n,n,n,y,n,n,n,y,y,n,y,n,s6,0.785272936,0.184193053
n,y,n,n,n,n,n,n,n,y,n,n,s7,0.785436551,0.12225075
n,n,n,y,y,n,n,n,n,n,n,n,s7,0.786218243,-0.049783103
n,y,n,n,n,n,n,y,n,n,n,n,s5,0.786671736,0.19131709
n,n,n,n,y,y,n,y,n,n,y,n,s6,0.787006868,-0.051422076
n,n,n,n,n,y,n,n,n,n,y,y,s8,0.787101411,0.240444757
n,n,n,n,n,y,y,y,y,n,n,y,s9,0.787477113,0.298252006
n,n,n,n,y,y,n,n,y,n,y,n,s7,0.787533421,0.160948019
n,n,n,n,n,n,n,n,n,y,n,n,s1,0.788352362,0.344959836
