s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,-,-,+,-,-,-,+,-,+,s6,0.541665978,0.257533775,3,
-,-,-,+,-,-,+,-,+,-,-,s7,0.859394258,0.25750647,3,
-,-,-,-,-,-,-,-,+,-,-,s7,0.592317114,0.257344135,1,
-,-,+,-,-,-,-,+,-,+,-,s6,0.890173659,0.257138667,3,
-,-,-,-,-,-,-,-,-,-,+,s2,0.768836885,0.255068727,1,
-,-,-,-,-,-,-,+,+,-,+,s4,0.678583944,0.25456222,3,
-,-,-,+,-,+,-,-,+,-,+,s7,0.450454613,0.254527163,4,
-,-,+,-,+,-,-,-,-,-,-,s6,0.725995352,0.254173312,2,
-,-,-,-,+,+,-,-,+,+,-,s6,0.673872446,0.253708669,4,
-,-,-,+,-,+,-,-,-,-,-,s6,0.680516664,0.252518682,2,
-,-,-,-,+,+,+,-,+,-,-,s3,0.625700973,0.251361834,4,
-,-,-,-,+,-,-,+,-,-,-,s5,0.774358866,0.250054102,2,
-,-,+,-,-,-,-,+,+,-,-,s6,0.608812889,0.246637078,3,
-,-,-,+,-,+,-,-,-,+,+,s8,0.719098509,0.245807704,4,
-,-,-,+,-,-,+,-,-,-,+,s7,0.965756723,0.245643664,3,
-,-,-,-,-,-,-,+,+,+,+,s3,0.540881727,0.245301799,4,
-,-,-,-,-,-,+,-,+,-,+,s5,0.584746571,0.244067201,3,
-,-,-,-,+,+,-,-,-,-,-,s6,0.776133472,0.242716782,2,
-,-,+,-,+,-,-,-,-,-,+,s3,0.818645167,0.242660925,3,
-,+,-,-,-,-,-,-,+,-,-,s2,0.690594645,0.242525809,2,
-,-,+,-,-,-,+,-,-,-,-,s5,0.681903973,0.241119054,2,
-,-,-,-,+,-,-,-,+,-,+,s7,0.948923271,0.24076686,3,
-,+,-,-,-,-,-,+,-,-,-,s5,0.522729839,0.240075277,2,
-,+,-,-,-,-,+,-,-,-,-,s4,0.806162325,0.237363304,2,
-,-,-,-,-,-,+,+,+,+,+,s4,0.609996884,0.237233939,5,
-,-,-,-,-,+,-,-,+,+,+,s6,0.618573565,0.236478934,4,
+,-,-,-,-,-,-,-,-,-,-,s2,0.874256348,0.235017025,1,
-,-,-,+,-,-,-,-,+,-,+,s2,0.902851784,0.234369732,3,
-,-,-,+,+,+,-,-,-,+,-,s6,0.923723329,0.233904772,4,
-,-,+,-,-,-,-,-,-,+,-,s5,0.861645998,0.233549208,2,
-,-,-,-,+,-,-,-,-,+,+,s6,1.037426929,0.233097242,3,
-,-,-,-,+,-,+,-,-,+,+,s7,0.773755257,0.232309342,4,
-,-,-,-,+,-,+,-,+,-,-,s3,0.768387158,0.232267882,3,
-,-,-,-,+,+,-,+,+,-,-,s9,0.644423562,0.232002976,4,
-,-,-,-,-,-,-,-,-,-,+,s8,0.937968519,0.231971281,1,
-,-,-,+,-,-,-,+,+,-,+,s9,0.349909952,0.230851852,4,
-,-,-,-,-,+,-,-,+,-,-,s4,0.80273297,0.229759039,2,
-,-,-,+,-,-,+,+,-,+,-,s4,0.793366846,0.2297069,4,
-,-,+,-,-,+,-,+,-,-,-,s8,0.789988248,0.228995983,3,
-,-,-,+,-,+,-,-,-,+,-,s6,0.901364609,0.228613117,3,
-,-,-,+,+,-,-,+,-,-,-,s9,0.712303126,0.228560699,3,
-,-,-,-,+,+,-,-,+,-,-,qc,0.940220403,0.228417784,3,
-,-,-,+,-,-,+,+,-,-,+,s9,0.570575628,0.227744362,4,
-,-,-,-,+,-,+,-,-,-,-,s7,0.744896937,0.227390266,2,
-,-,-,-,-,+,-,-,-,-,+,s0,0.864171256,0.226802488,2,
-,-,+,-,-,-,+,-,-,+,-,s7,0.468658355,0.224401163,3,
-,-,-,-,+,-,-,+,-,-,+,s8,0.575422236,0.22376502,3,
-,-,-,-,-,+,-,-,+,-,-,s6,0.947166869,0.223621262,2,
-,-,-,-,+,+,+,+,-,-,-,s3,0.771446753,0.222720039,4,
-,-,-,-,-,-,-,-,+,+,+,s3,0.886693422,0.222301633,3,
-,-,-,+,-,-,-,-,-,+,+,s7,0.470266274,0.221740163,3,
-,-,-,-,+,-,+,+,-,+,+,s5,0.833200293,0.221605139,5,
-,-,+,-,-,-,-,-,+,-,+,s3,0.571330385,0.220985879,3,
-,-,-,-,-,-,+,-,-,+,+,s8,0.584920956,0.220474406,3,
-,-,-,-,+,+,+,+,-,-,+,s9,0.841302757,0.220438026,5,
-,-,-,-,+,-,+,-,+,-,-,s5,0.819202576,0.219796914,3,
-,-,-,-,-,-,-,-,+,+,-,s3,1.02698837,0.219415457,2,
-,+,-,-,-,+,-,-,-,-,-,s9,0.96002254,0.217887292,2,
-,-,-,-,+,+,-,+,-,+,-,qc,0.718325938,0.217156753,4,
-,-,-,-,+,-,-,-,+,+,+,s7,0.70069755,0.216949162,4,
-,-,-,-,+,-,-,+,-,-,-,s2,0.742431282,0.215590846,2,
-,-,-,+,-,-,-,-,+,-,-,s1,0.911053485,0.21459807,2,
-,-,-,-,-,-,-,+,-,-,-,s3,0.945310961,0.21318619,1,
-,-,-,-,+,-,-,-,+,-,-,s2,0.88833566,0.212372786,2,
-,-,-,-,-,-,+,-,-,-,+,s8,0.676814827,0.212114739,2,
-,-,-,+,+,-,-,-,-,-,+,s2,0.690310674,0.211847725,3,
-,-,-,-,-,-,+,+,-,+,+,s5,0.737443835,0.210807269,4,
-,-,-,-,-,-,+,-,-,-,+,s3,0.781072085,0.210250878,2,
-,+,+,-,-,-,-,-,-,-,-,s9,0.620833587,0.210156543,2,
-,-,-,-,+,+,-,-,-,-,-,s8,0.678893488,0.209694954,2,
-,-,-,+,+,-,-,+,-,-,-,s6,0.78438948,0.209585347,3,
-,-,-,-,+,-,+,+,-,-,-,s5,0.816448477,0.209291436,3,
-,-,+,+,-,-,-,-,-,-,-,s1,0.837814758,0.208554832,2,
-,-,-,+,-,-,-,-,-,-,+,s0,0.79784765,0.208423196,2,
-,-,-,-,-,+,-,-,-,-,+,s4,0.886015711,0.208032667,2,
-,-,-,-,-,-,-,-,-,+,-,s3,0.622990108,0.207729311,1,
-,-,+,-,-,+,-,-,+,-,-,s6,0.832947789,0.207705009,3,
-,-,-,-,-,-,+,-,+,-,-,s5,0.649434658,0.206913404,2,
-,-,+,-,+,-,-,-,+,-,-,s3,0.648697729,0.205981273,3,
-,-,-,-,+,+,-,+,-,+,-,s3,0.667645175,0.204491092,4,
-,-,-,+,-,-,-,-,-,-,+,s5,0.745220908,0.204181294,2,
-,-,-,-,-,-,+,+,-,-,-,s5,0.648531934,0.204143024,2,
-,-,+,-,-,+,-,-,-,+,-,s3,0.860332527,0.204095416,3,
-,-,-,-,-,+,-,-,-,-,+,s7,0.581817107,0.203750472,2,
-,-,-,-,+,+,-,-,-,+,-,s3,0.627502009,0.201991424,3,
-,-,-,+,+,-,-,-,-,-,+,s7,1.317089375,0.201688156,3,
-,-,-,+,-,+,+,-,-,-,+,s8,0.728200158,0.201595745,4,
-,-,-,-,-,+,-,+,+,+,+,s6,0.881128257,0.201002215,5,
-,+,-,-,-,-,-,-,-,-,+,s9,0.7818584,0.200638272,2,
-,-,-,-,-,-,-,+,+,-,-,s2,0.738137692,0.200234793,2,
-,-,-,-,+,+,-,-,-,+,-,qc,0.79152295,0.200232954,3,
-,-,-,+,-,-,-,-,-,-,-,s9,0.792163698,0.197703701,1,
-,-,+,-,-,+,-,+,-,-,-,s3,0.994912591,0.197488426,3,
-,-,-,-,+,-,+,+,+,-,-,s5,0.928167808,0.19714277,4,
-,-,-,-,-,-,-,+,-,+,+,s4,0.815238988,0.196440293,3,
-,-,-,-,-,-,-,-,+,+,-,s1,0.91345257,0.195327847,2,
-,-,-,-,+,-,-,-,+,-,+,s3,0.554084351,0.19479712,3,
-,-,+,+,-,-,-,+,-,-,-,s5,0.808734071,0.194617528,3,
-,-,+,-,-,-,-,+,-,-,+,s5,0.874975093,0.194571512,3,
-,-,-,-,-,-,+,-,-,+,+,s5,0.96794104,0.194327459,3,
-,-,-,-,+,-,+,-,+,+,-,s5,0.737372258,0.193691796,4,
-,-,-,-,+,-,-,+,-,+,-,s8,0.8490167,0.192789358,3,
-,-,-,+,-,+,-,-,-,-,+,s9,0.686251867,0.192690921,3,
-,+,+,-,-,-,-,-,-,-,-,s4,0.881478287,0.192121885,2,
-,-,-,-,-,+,-,-,-,+,-,s1,0.82247453,0.191041435,2,
-,-,-,-,-,-,-,-,+,+,-,s7,1.004772294,0.190570398,2,
-,-,+,-,+,+,-,-,-,-,-,s7,0.741100147,0.190495817,3,
-,-,+,-,-,-,-,+,-,-,+,s6,0.820459611,0.190370246,3,
-,-,-,+,-,+,-,+,-,-,-,s8,0.612860391,0.190220312,3,
-,-,-,-,-,+,+,+,+,+,-,s4,0.844554365,0.189630438,5,
-,-,-,-,+,-,-,-,-,-,-,s6,0.595961444,0.189133659,1,
-,-,+,-,-,-,-,-,+,-,+,s7,0.607685547,0.188599317,3,
-,-,-,-,+,-,-,+,+,-,+,s3,0.906819068,0.188286705,4,
-,-,-,-,-,+,-,+,-,-,-,s1,0.864689933,0.188237959,2,
-,-,-,-,+,+,+,-,-,-,+,s9,0.772419905,0.187904734,4,
-,+,-,-,-,-,-,-,+,-,-,s4,1.022620017,0.187835183,2,
+,-,-,-,-,-,-,-,-,-,-,s4,0.603349417,0.187760563,1,
-,-,-,+,+,-,-,-,-,-,-,qc,0.91873863,0.187569699,2,
-,-,-,-,-,-,-,+,-,+,-,s3,0.874744699,0.184986016,2,
-,-,-,-,+,+,-,-,-,+,-,s7,0.72935216,0.184926764,3,
-,-,-,-,+,+,-,+,+,-,+,s6,0.9509105,0.183846132,5,
-,-,-,-,+,-,-,-,-,-,-,s1,0.70795363,0.183274189,1,
-,+,-,-,-,-,-,-,-,-,+,s3,0.809596883,0.181409194,2,
-,-,-,-,-,+,+,-,-,+,-,s2,0.802998967,0.180773974,3,
-,-,+,-,-,-,-,+,-,-,-,s4,0.873498539,0.180669001,2,
-,-,-,-,+,-,+,-,-,+,+,s3,0.717024596,0.180345563,4,
-,-,-,-,-,-,-,+,+,-,+,s2,0.97688399,0.179408148,3,
-,-,-,-,+,-,-,-,+,+,-,s3,1.142305026,0.178721597,3,
-,-,+,+,-,-,+,-,-,-,-,s9,0.794533338,0.178480833,3,
-,-,-,-,-,+,-,-,-,-,-,s2,0.879055217,0.177279508,1,
-,-,-,+,-,-,-,+,-,-,+,s6,0.895506376,0.175814128,3,
-,-,-,+,-,-,-,+,-,-,-,s5,0.895508949,0.175669771,2,
-,-,-,-,+,-,-,-,+,-,-,s1,0.816581851,0.174924709,2,
-,-,-,+,+,+,-,-,+,-,-,s7,0.958186583,0.173021234,4,
-,-,-,+,-,-,-,-,-,-,-,s0,1.066619285,0.172045871,1,
-,-,-,+,-,-,+,+,-,-,-,s5,0.636172758,0.171181588,3,
-,-,-,+,-,-,-,+,-,-,+,s8,0.712200637,0.17092185,3,
-,-,-,+,-,-,+,-,-,-,+,s4,0.82190257,0.170748987,3,
-,-,-,+,-,-,-,-,+,-,-,s7,1.036700158,0.170536607,2,
-,-,-,-,-,-,-,-,-,-,+,s5,1.013966475,0.170124374,1,
-,-,-,-,+,-,-,-,-,-,+,s2,0.664793522,0.169997879,2,
-,-,+,-,+,-,-,+,-,-,-,s5,0.928210966,0.169925044,3,
-,-,+,-,+,-,-,-,-,-,+,s8,0.631960296,0.16924367,3,
-,-,+,-,-,-,-,-,-,-,+,s9,0.660749462,0.169169774,2,
-,-,-,+,-,+,+,-,+,-,-,s7,0.74757668,0.169076198,4,
-,-,-,-,+,+,-,+,-,-,-,s2,0.832522613,0.168802137,3,
-,-,-,-,+,-,+,-,+,-,-,s7,0.956409113,0.167567417,3,
-,-,+,+,-,-,-,-,-,-,+,s8,1.004800142,0.167547934,3,
-,-,-,-,-,-,+,-,+,-,-,s2,0.88467184,0.166597576,2,
-,-,-,-,-,+,-,+,+,-,+,s6,0.792076727,0.164781579,4,
-,-,-,+,-,+,-,-,+,+,-,s6,1.012919447,0.164155641,4,
-,-,-,-,+,+,-,-,+,-,+,s7,0.497125849,0.163829848,4,
-,-,+,-,+,-,-,-,-,+,-,s3,0.815520836,0.163639708,3,
-,-,-,-,-,+,-,+,+,+,-,s3,0.815933774,0.163216218,4,
-,-,+,-,-,-,+,-,-,-,+,s8,0.710550197,0.16275586,3,
-,-,-,-,+,-,+,+,-,+,-,s3,0.761128082,0.162598733,4,
-,-,-,-,-,+,-,-,+,-,+,s7,0.497017759,0.162298566,3,
-,-,-,+,+,-,-,-,-,-,-,s1,0.762388011,0.161012301,2,
-,-,-,-,-,+,-,+,-,+,-,s2,0.673382885,0.160955415,3,
-,-,-,+,-,+,-,-,-,-,-,s1,0.79243907,0.160523183,2,
-,-,+,-,-,-,-,-,+,+,-,s4,0.7303981,0.160370061,3,
-,-,-,-,-,-,+,+,-,+,-,s3,0.806214336,0.158762813,3,
-,-,-,-,+,+,+,+,-,-,-,s9,0.921621081,0.158495366,4,
-,-,+,-,-,-,-,-,-,+,-,s6,0.809778453,0.15814224,2,
-,-,+,+,-,-,-,+,-,-,-,s8,0.554901291,0.157326873,3,
-,-,-,+,-,-,-,+,-,-,-,s1,0.619166661,0.157096989,2,
-,-,-,+,-,+,+,-,-,-,-,s2,0.778560581,0.156436975,3,
-,-,-,-,+,+,-,-,+,-,+,s3,0.682856436,0.155531281,4,
-,-,-,-,-,+,-,+,+,-,+,s9,0.578808045,0.154932349,4,
-,-,+,-,-,-,-,-,+,-,-,s4,0.632493915,0.153373987,2,
-,-,-,-,-,+,-,-,-,-,+,s3,0.803361674,0.15250067,2,
-,-,-,-,-,-,+,-,-,-,+,s1,0.796439172,0.152326865,2,
-,-,+,+,-,-,+,-,-,-,-,s7,0.556741058,0.151998415,3,
-,-,-,-,-,-,+,-,+,-,-,s7,0.537192179,0.151935017,2,
-,-,+,-,-,-,+,-,-,-,-,s7,1.184143179,0.151602259,2,
-,-,-,-,+,+,+,-,+,+,-,s7,0.738590874,0.151546415,5,
-,-,-,+,+,-,-,-,+,+,-,s7,1.317278936,0.150889431,4,
-,+,-,+,-,-,-,-,-,-,-,s4,0.863641747,0.15051186,2,
-,-,+,-,-,-,+,-,-,-,+,s5,0.953065084,0.150347901,3,
-,-,-,+,-,-,-,-,-,+,+,s2,0.977496168,0.149855261,3,
-,+,-,-,+,-,-,-,-,-,-,s3,0.739032076,0.149772627,2,
-,-,-,-,-,-,+,+,+,+,-,s5,0.616765443,0.149556201,4,
-,-,-,-,-,+,-,-,+,-,+,s6,0.888236443,0.149083792,3,
-,-,+,-,+,+,-,-,-,-,-,s3,1.019658664,0.148836981,3,
-,-,+,-,-,-,+,+,-,-,-,s9,1.246034766,0.148513424,3,
-,-,-,+,-,-,-,+,-,-,-,s8,0.648998266,0.148294537,2,
-,-,-,-,-,+,-,-,-,-,-,s0,0.763556972,0.148139593,1,
+,-,-,-,-,-,-,-,-,-,-,s7,0.701442943,0.147801324,1,
-,-,-,-,+,-,+,-,+,+,+,s5,0.869483173,0.146399166,5,
-,-,-,-,+,-,-,+,-,-,-,s6,0.943065214,0.144838437,2,
-,-,-,-,-,+,-,-,+,-,+,s4,0.810132424,0.144051583,3,
-,-,-,-,-,+,-,+,-,-,+,s6,1.0002373,0.143997972,3,
-,-,-,+,+,-,-,+,-,-,-,s2,1.055865806,0.142357428,3,
-,-,+,-,-,-,-,-,-,+,+,s4,0.779732892,0.141944514,3,
-,-,-,-,-,-,-,+,+,+,-,s3,0.921469128,0.141452099,3,
-,-,-,-,+,-,-,-,-,-,+,s3,0.894599586,0.14141464,2,
-,-,-,+,-,-,-,-,+,+,-,s5,0.874595933,0.141379798,3,
-,-,-,+,+,-,-,-,-,-,+,s8,0.880700634,0.14046351,3,
-,-,-,-,+,+,-,-,-,+,+,s3,0.857946602,0.140392001,4,
-,-,-,+,-,-,-,-,-,+,-,s1,1.018227134,0.140178222,2,
-,-,-,+,+,-,-,-,+,+,-,s6,0.992692563,0.139985002,4,
-,-,-,+,-,+,+,-,+,-,-,qc,1.087439898,0.139272195,4,
-,-,-,-,-,-,-,+,-,+,-,s2,1.030413761,0.139085764,2,
-,-,-,-,+,-,-,-,+,-,-,s6,0.912372892,0.137159906,2,
-,-,-,-,-,-,+,-,+,-,+,s7,0.613138029,0.13645976,3,
-,-,-,-,+,-,-,+,+,-,+,s5,0.901005279,0.135738696,4,
-,-,-,-,-,-,-,+,-,+,-,s1,0.849161313,0.134780156,2,
-,-,-,+,-,-,-,-,+,-,-,s4,0.723546528,0.134383547,2,
-,-,-,-,+,-,-,+,+,+,-,s5,0.810763009,0.134189122,4,
-,+,-,-,-,-,-,-,-,-,+,s8,0.570182015,0.134121564,2,
-,-,-,+,-,-,+,-,-,-,-,s9,1.007861967,0.133726872,2,
-,-,-,-,-,+,-,+,-,-,-,s2,1.004942358,0.133644577,2,
-,-,+,-,-,-,-,-,-,+,+,s3,1.159840414,0.133123455,3,
-,-,+,+,-,-,-,-,-,-,+,s5,1.007887441,0.132670224,3,
-,-,-,-,-,+,-,+,+,+,+,s4,0.891154204,0.132524298,5,
-,-,-,+,-,+,+,-,-,+,-,s7,0.874927206,0.131930366,4,
-,-,+,-,-,-,-,-,-,-,+,s3,1.035971577,0.1311787,2,
-,-,-,-,-,-,-,+,-,-,-,s1,1.007525744,0.131018347,1,
-,-,-,-,+,-,-,-,-,-,+,s6,0.632427955,0.129082293,2,
-,-,-,+,-,-,+,-,+,+,-,s4,0.943119874,0.128834428,4,
-,-,-,-,-,-,-,+,-,-,+,s0,0.763031447,0.128094383,2,
-,-,-,-,+,+,-,+,-,-,-,s6,0.812898346,0.127875166,3,
-,-,+,-,-,-,+,+,-,-,-,s4,0.790511027,0.127531165,3,
-,-,-,+,-,-,-,+,-,+,-,s5,0.801936536,0.127369093,3,
-,-,-,-,-,-,+,-,-,-,-,s0,1.158785892,0.127362327,1,
-,-,-,-,-,+,-,-,-,-,-,s7,0.960278327,0.127258311,1,
-,-,-,-,+,-,-,-,-,-,-,s0,0.843492592,0.127203008,1,
-,-,-,-,-,+,-,-,+,-,+,s3,0.804879458,0.127170857,3,
-,-,-,-,-,-,+,-,-,-,-,s4,0.830288417,0.125212961,1,
-,-,-,-,+,-,+,+,-,+,-,s5,0.945965325,0.124406302,4,
-,-,+,-,-,-,+,-,+,-,-,qc,0.99067732,0.124270157,3,
-,-,-,+,-,+,-,-,+,-,-,s2,0.971760808,0.123858401,3,
-,-,-,-,-,+,-,+,-,-,+,s2,0.732560891,0.122888005,3,
-,-,-,+,+,+,-,-,+,-,-,s9,0.949691827,0.122742607,4,
-,-,-,+,-,-,+,-,-,+,-,s7,0.742365345,0.12270506,3,
-,-,+,+,+,-,-,-,-,-,-,s5,0.943888664,0.12268818,3,
-,-,-,-,-,-,+,+,+,-,-,s3,0.982757566,0.122500795,3,
-,-,-,-,+,-,-,-,-,+,-,s7,1.150275035,0.121537626,2,
-,-,+,+,-,-,+,-,-,-,-,s4,0.822971868,0.121104553,3,
-,-,-,+,+,-,+,+,-,-,-,s9,0.839231129,0.120776802,4,
-,-,-,-,-,-,+,+,-,-,-,s9,0.762253087,0.120711727,2,
-,-,-,-,-,-,+,+,-,-,+,s8,0.932977109,0.117306105,3,
-,-,-,+,-,-,-,-,-,-,-,s6,0.94089429,0.116413364,1,
-,-,-,-,+,+,-,-,+,-,-,s3,0.461037487,0.116226853,3,
-,-,-,-,-,+,-,+,-,-,-,s3,0.719693468,0.116066834,2,
-,-,+,-,-,+,-,-,-,-,+,s6,0.827464393,0.114821055,3,
-,-,-,+,-,-,-,-,-,-,+,s8,1.022727197,0.114742658,2,
-,-,-,+,-,-,-,-,-,-,-,s5,0.82732669,0.114617034,1,
-,-,-,-,+,+,-,-,-,-,-,qc,1.024948855,0.114173504,2,
-,-,-,-,+,-,-,+,-,-,-,s8,0.84834257,0.113863283,2,
-,-,-,-,-,-,-,+,-,-,+,s8,0.670903753,0.113526931,2,
-,+,-,-,-,-,+,-,-,-,-,s9,0.803600834,0.113506467,2,
-,+,+,-,-,-,-,-,-,-,-,s5,0.925542047,0.112202564,2,
-,-,+,-,-,-,-,-,-,+,+,s6,1.133280112,0.110575027,3,
-,-,-,-,-,-,+,+,-,-,+,s3,0.840636178,0.110564195,3,
-,+,-,-,-,+,-,-,-,-,-,s4,0.789222188,0.110154065,2,
-,-,-,-,-,+,-,+,+,-,-,s2,0.727592831,0.11002198,3,
-,-,-,-,-,-,+,+,-,+,+,s3,0.820733671,0.109978197,4,
-,-,-,+,-,-,+,+,-,-,-,s2,0.677072922,0.109455571,3,
-,-,-,-,+,-,-,-,-,+,+,s2,0.956877046,0.109350862,3,
-,+,-,-,-,-,-,-,-,+,-,s5,0.96794398,0.108992173,2,
-,-,-,+,+,-,+,-,-,-,-,s9,1.208075328,0.108778951,3,
-,-,-,+,+,-,-,-,+,-,-,s7,0.855252167,0.108432244,3,
-,-,-,-,+,-,-,-,-,-,-,s2,0.8141159,0.107566063,1,
-,-,-,-,-,+,+,-,-,-,-,qc,0.685984275,0.10718469,2,
-,-,-,+,-,-,-,-,+,-,-,s6,0.953823082,0.106545456,2,
-,-,-,+,+,-,-,-,-,-,+,s5,0.969076602,0.105899828,3,
-,-,-,-,+,+,+,-,-,-,-,s2,0.754005566,0.10580433,3,
-,-,+,-,-,-,-,+,-,-,+,s8,0.681781971,0.105271216,3,
-,-,+,+,-,-,-,-,+,-,-,s6,0.863189983,0.105135561,3,
-,-,-,-,-,-,-,-,+,-,-,s1,0.851649434,0.104074386,1,
-,-,-,-,+,+,-,-,-,+,-,s6,0.767246097,0.10391654,3,
-,-,-,+,-,-,-,-,+,-,+,s6,0.910974477,0.103447352,3,
-,-,+,-,-,-,-,-,+,+,-,s6,0.906145956,0.103417659,3,
-,-,-,-,-,-,-,+,+,-,-,s3,1.053397167,0.102408729,2,
-,-,-,-,-,-,-,+,+,-,-,s5,0.821468695,0.102222281,2,
-,-,-,+,-,-,-,+,-,-,-,s2,0.940462954,0.101816462,2,
-,-,+,+,-,-,-,-,-,-,+,s7,1.054612324,0.10018551,3,
-,-,-,-,-,-,+,+,-,+,+,s4,0.865417601,0.09980027,4,
-,-,-,+,-,+,-,-,+,+,-,s4,0.81764529,0.098112979,4,
-,-,+,-,-,+,-,-,-,-,-,s3,1.008666571,0.09712081,2,
-,-,+,-,-,-,-,-,+,-,+,s6,0.612579981,0.096580272,3,
-,-,+,-,-,+,-,-,+,-,-,s3,0.715395103,0.095821843,3,
-,-,+,-,-,-,-,+,-,-,-,s3,0.612203879,0.095692376,2,
-,-,+,+,-,-,-,-,-,+,-,s7,1.100141324,0.09513112,3,
-,-,-,+,-,-,+,+,+,-,-,s5,0.837325773,0.094747951,4,
-,-,-,+,-,-,-,-,-,-,-,s4,0.965389001,0.094476865,1,
-,-,+,-,-,-,-,-,+,+,-,qc,0.72726868,0.094159173,3,
-,-,-,+,-,-,-,-,+,-,-,s5,0.749824161,0.093690026,2,
-,-,-,-,+,-,-,-,-,-,+,s1,0.841148804,0.093576962,2,
-,-,-,-,-,-,-,+,-,+,-,s4,0.87722565,0.093534009,2,
-,-,-,+,-,-,-,-,+,+,-,s4,1.032001634,0.093484366,3,
-,-,-,-,-,-,+,+,-,+,-,s2,0.905390743,0.092657116,3,
-,-,-,-,+,-,-,-,-,-,+,s8,1.006074809,0.0925752,2,
-,-,-,-,-,+,-,-,+,+,-,s2,1.23384644,0.09244977,3,
-,-,-,+,-,+,-,-,-,-,+,s7,1.052482197,0.091637845,3,
-,-,+,+,-,-,-,-,-,-,+,s6,0.95610816,0.090555596,3,
-,-,-,+,-,-,+,-,+,+,-,s7,0.960905899,0.090509312,4,
-,-,-,-,+,-,-,+,-,+,-,s6,1.082444962,0.089998393,3,
-,-,-,-,-,+,-,+,+,-,-,s6,1.090706505,0.089791435,3,
-,-,-,+,+,+,-,+,-,-,-,s8,0.843154659,0.089761054,4,
-,-,-,-,-,-,+,-,+,-,-,qc,1.361398961,0.08873653,2,
-,-,-,-,-,-,-,+,+,-,+,s6,0.738468082,0.088490086,3,
-,-,+,-,-,-,-,-,-,-,-,s5,1.110247316,0.088350643,1,
-,-,+,-,-,-,-,-,-,-,-,s9,0.868084159,0.087326684,1,
-,-,-,-,-,-,+,-,-,+,-,s5,0.904333477,0.086730005,2,
-,-,-,-,+,-,-,+,+,-,-,s3,0.847635698,0.086325732,3,
-,+,-,-,-,-,+,-,-,-,-,qc,0.7463866,0.085587647,2,
-,+,-,-,-,-,-,-,-,-,+,s2,1.163093246,0.08546659,2,
-,-,-,-,+,-,-,-,-,+,-,qc,0.998521333,0.085282318,2,
-,-,-,-,-,-,-,+,+,+,+,s5,1.167409964,0.0848321,4,
-,-,-,+,-,+,-,-,-,-,-,s7,0.988088415,0.084791562,2,
-,-,-,-,-,-,+,-,-,+,-,s7,1.144888895,0.083974841,2,
-,-,-,-,-,-,-,-,+,-,-,s5,0.731893941,0.083925595,1,
-,-,-,+,+,-,-,-,+,-,-,s6,0.931682868,0.083677682,3,
-,-,-,-,-,-,+,-,-,-,+,s4,0.793278675,0.083604475,2,
-,-,-,-,-,+,-,-,-,-,+,s9,1.013948522,0.083360339,2,
-,-,+,-,-,-,+,-,-,-,-,s4,0.98404616,0.08246814,2,
-,-,-,-,+,+,+,-,-,-,-,s7,1.140868584,0.080933253,3,
-,-,-,+,+,-,-,+,-,-,-,qc,1.102743,0.080612486,3,
-,-,+,-,-,-,-,-,-,-,-,s4,0.947038386,0.080504639,1,
-,+,-,-,-,-,-,-,+,-,-,s3,0.969160135,0.080306762,2,
-,-,-,+,+,-,+,-,-,-,-,s5,0.889201667,0.080267159,3,
-,-,-,-,-,+,-,-,+,+,-,s4,0.837293313,0.080216862,3,
-,-,-,-,+,-,-,+,-,+,+,s3,0.909994863,0.079895879,4,
-,-,-,-,+,-,-,+,+,+,-,s6,1.030584317,0.079610781,4,
-,-,-,-,-,+,-,-,-,-,-,s1,0.838112248,0.079354712,1,
-,-,-,-,-,+,+,+,+,+,-,qc,0.784042897,0.079272034,5,
-,-,-,-,-,-,-,-,+,-,-,s6,0.83179393,0.078815876,1,
-,-,-,+,-,-,-,-,-,-,-,s7,0.803646404,0.078101679,1,
-,-,+,-,+,-,-,-,-,+,-,s6,1.170682468,0.076803568,3,
-,-,-,-,-,-,-,+,-,-,-,s4,0.856241724,0.076660346,1,
-,-,-,-,+,-,-,+,-,-,-,s9,0.952589508,0.076213013,2,
-,-,+,-,+,-,-,+,-,-,-,s3,0.654836321,0.075518581,3,
-,-,-,-,+,+,-,-,-,-,+,s3,0.66715538,0.075400579,3,
-,-,+,-,-,-,+,-,-,-,-,s8,0.886543228,0.075210479,2,
-,-,+,-,-,-,+,+,-,-,-,s8,0.947599319,0.075172469,3,
-,+,+,-,-,-,-,-,-,-,-,s6,0.755509382,0.074420638,2,
-,-,+,-,+,-,-,-,-,-,+,s6,0.84522105,0.07436182,3,
-,-,-,-,-,-,-,+,-,-,-,s5,1.077309489,0.074120203,1,
-,-,-,-,-,+,-,+,-,+,-,s6,0.783558062,0.073132945,3,
-,-,-,-,-,-,-,-,+,-,-,s0,1.066013124,0.071490287,1,
-,-,-,-,-,+,-,-,-,-,+,s2,0.895983733,0.070176248,2,
-,-,-,+,-,+,-,+,-,-,+,s4,0.885056333,0.069074385,4,
-,-,+,-,-,-,+,-,-,-,+,s4,0.816390979,0.068350467,3,
-,+,-,-,-,-,-,-,-,-,-,s9,0.860367159,0.06820423,1,
-,-,-,-,-,+,+,-,-,-,-,s4,0.882586719,0.068023312,2,
-,-,-,+,-,-,-,+,-,-,-,s4,0.902263542,0.067661535,2,
