s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,-,-,-,+,-,-,+,+,-,s7,0.447549584,0.48587904,3,
-,-,-,-,+,+,+,+,+,-,-,s9,0.494859002,0.48155937,5,
-,-,-,-,+,-,-,-,-,+,-,s8,0.341530992,0.481351019,2,
-,-,-,+,+,+,-,-,-,+,-,s8,0.440591343,0.480849458,4,
-,-,-,+,-,-,-,-,-,-,+,s1,0.455347028,0.474692049,2,
-,-,+,-,-,+,-,-,+,-,-,s9,0.428450854,0.474620505,3,
-,-,+,+,-,-,-,-,-,-,-,s5,0.500909175,0.474033529,2,
-,-,-,+,-,-,-,-,+,+,+,s7,0.655692514,0.471783872,4,
-,-,-,-,+,-,+,+,-,+,-,s8,0.561865173,0.465801383,4,
-,-,-,+,+,-,-,+,-,-,+,s5,0.514393232,0.465466307,4,
-,-,-,+,-,+,-,+,+,-,-,s9,0.434733967,0.465258703,4,
-,-,-,-,-,+,-,+,+,-,+,s3,0.626117241,0.464902699,4,
-,-,-,+,-,-,-,+,+,-,-,s9,0.511880248,0.463727007,3,
-,-,-,+,-,-,-,-,+,-,+,s9,0.633451837,0.46292736,3,
-,-,-,+,+,-,-,-,+,-,+,s7,0.617267196,0.462178231,4,
-,-,-,-,-,+,-,-,-,+,-,s8,0.537112311,0.459413647,2,
-,-,-,+,-,+,-,-,-,+,-,s8,0.766956305,0.459094672,3,
-,-,-,-,+,-,+,+,+,-,+,s9,0.585530926,0.4574395,5,
-,-,-,+,-,-,-,+,+,-,+,s4,0.58213309,0.456945596,4,
-,-,-,+,-,+,-,-,+,-,+,s9,0.302609682,0.456588502,4,
-,-,-,-,-,-,+,-,+,+,-,s5,0.45909078,0.451374171,3,
-,-,-,-,+,+,+,-,-,+,+,s7,0.556726353,0.4476372,5,
-,-,-,-,-,+,-,+,-,-,+,s9,0.551414083,0.445788644,3,
-,-,-,+,-,-,+,-,+,-,+,s5,0.607181114,0.445150551,4,
-,-,-,-,+,-,-,+,-,+,-,s3,0.666641909,0.444809877,3,
-,-,-,-,-,+,+,+,-,-,+,s8,0.715571876,0.44466491,4,
-,-,-,-,-,-,-,-,+,-,+,s2,0.422513488,0.444273991,2,
-,-,-,-,+,+,-,+,+,-,+,s9,0.543592953,0.444237726,5,
-,-,-,+,+,-,+,-,-,+,-,s5,0.583821495,0.443179852,4,
-,-,-,+,+,-,-,+,-,+,-,s8,0.479793617,0.442308517,4,
-,-,-,-,-,+,-,+,-,+,+,s4,0.598382305,0.441787194,4,
-,+,-,-,-,+,-,-,-,-,-,s2,0.400700885,0.44110564,2,
-,-,-,-,-,-,-,-,-,+,+,s2,0.51724968,0.435638874,2,
-,-,-,-,+,-,+,+,-,+,+,s8,0.626313587,0.435099183,5,
-,-,-,+,-,-,-,-,-,+,-,s8,0.651985204,0.433112122,2,
-,-,-,-,+,-,+,-,+,-,+,s3,0.630028702,0.430724075,4,
-,-,-,-,+,-,-,+,-,-,+,s9,0.557084068,0.430444588,3,
-,-,+,+,-,-,-,-,-,+,-,s8,0.75228257,0.429911843,3,
-,-,-,+,-,-,-,+,-,+,-,s8,0.432388706,0.428679685,3,
-,-,-,-,+,-,-,+,-,+,+,s8,0.435167908,0.427941128,4,
-,-,+,-,-,+,-,-,+,-,-,s7,0.498489471,0.427362031,3,
-,-,-,+,-,-,-,-,+,+,+,s4,0.617534728,0.427329231,4,
-,-,-,-,-,-,+,-,-,-,+,s0,0.542080942,0.426499864,2,
