t,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,q0,q1,q2,q3,a0,qc,c,u
43350.46435,-1.186103273,-0.412246823,0.532274793,0.263693952,0.733099509,0.331117412,0.386140252,0.950174437,-0.609869411,-0.29880276,0.677050302,0.152528872,0.740025039,0.087922446,0.368461695,0.680865053,0,0
43350.51653,-2.335428151,-1.300709805,0.532274793,0.263693952,0.733099509,0.331117412,0.386140252,-0.369512281,0.751446238,-0.29880276,0.677050302,0.152528872,0.740025039,0.087922446,0.368461695,0.680865053,1,0
43350.53638,-1.186103273,-0.412246823,-0.343177169,0.263693952,0.733099509,0.331117412,0.386140252,-0.369512281,0.751446238,-0.29880276,0.677050302,0.152528872,0.740025039,0.087922446,0.368461695,0.680865053,2,0
43350.46388,-2.335428151,-1.300709805,0.532274793,0.263693952,0.733099509,0.331117412,0.386140252,0.950174437,-0.609869411,-0.29880276,-0.380840795,-2.047406786,0.740025039,-0.558566126,-0.001424088,-0.729168982,0,1
43350.4906,-1.186103273,-1.300709805,0.532274793,0.263693952,0.733099509,-0.513569864,0.386140252,0.950174437,-1.97118506,-0.29880276,-0.380840795,-2.047406786,0.740025039,-0.558566126,-0.001424088,-0.729168982,1,1
43350.53849,-1.186103273,-1.300709805,0.532274793,-1.733987505,0.733099509,-0.513569864,-0.598911412,-0.369512281,-1.97118506,-0.29880276,-0.380840795,-2.047406786,0.740025039,-0.558566126,-0.001424088,-0.729168982,2,1
43350.45869,-0.036778396,-0.412246823,-0.343177169,-1.733987505,-0.139638002,-1.358257139,-1.583963076,0.950174437,0.751446238,0.799736799,0.677050302,-0.580783014,0.740025039,0.734411018,-0.094034172,0.473353426,0,2
43350.47414,1.112546481,-0.412246823,0.532274793,-0.735146776,-0.139638002,-1.358257139,-0.598911412,-0.369512281,0.751446238,0.799736799,0.677050302,-0.580783014,0.740025039,0.734411018,-0.094034172,0.473353426,1,2
43350.45341,-0.036778396,-1.300709805,0.532274793,0.263693952,-1.012375512,-1.358257139,-1.583963076,-3.008885717,0.751446238,0.799736799,-2.49662299,-2.780718673,-1.980655251,-1.85154327,0.368461695,-2.802543538,0,3
43350.48033,-0.036778396,0.476216158,0.532274793,0.263693952,0.733099509,-1.358257139,-1.583963076,-0.369512281,-0.609869411,-0.29880276,-2.49662299,-2.780718673,-1.980655251,-1.85154327,0.368461695,-2.802543538,1,3
43350.43448,-0.036778396,0.476216158,-1.218629132,-1.733987505,-1.012375512,0.331117412,0.386140252,-0.369512281,0.751446238,-0.29880276,-1.438731892,-1.3140949,-0.620315106,-2.498031841,0.368461695,-1.80728394,0,4
43350.45763,-0.036778396,-1.300709805,-1.218629132,0.263693952,-1.012375512,0.331117412,0.386140252,-0.369512281,-0.609869411,0.799736799,-1.438731892,-1.3140949,-0.620315106,-2.498031841,0.368461695,-1.80728394,0,4
43350.44984,-0.036778396,-1.300709805,0.532274793,0.263693952,0.733099509,0.331117412,1.371191916,0.950174437,0.751446238,0.799736799,0.677050302,-0.580783014,0.740025039,-1.85154327,1.015068627,-0.024276372,0,5
43350.48816,-1.186103273,-1.300709805,0.532274793,-2.732828234,0.733099509,-1.358257139,0.386140252,-3.008885717,-1.97118506,-2.495881878,0.677050302,-0.580783014,0.740025039,-1.85154327,1.015068627,-0.024276372,1,5
43350.52634,-1.186103273,-2.189172787,1.407726756,-1.733987505,0.733099509,-0.513569864,-0.598911412,-3.008885717,-1.97118506,-1.397342319,0.677050302,-0.580783014,0.740025039,-1.85154327,1.015068627,-0.024276372,2,5
43350.45933,-0.036778396,-0.412246823,-0.343177169,-0.735146776,-0.139638002,-2.202944415,-2.56901474,-0.369512281,0.751446238,0.799736799,-0.380840795,0.885840759,0.740025039,0.087922446,1.38495441,1.136942763,0,6
43350.46876,-0.036778396,0.476216158,-1.218629132,-1.733987505,-0.139638002,-1.358257139,-1.583963076,-0.369512281,0.751446238,0.799736799,-0.380840795,0.885840759,0.740025039,0.087922446,1.38495441,1.136942763,1,6
43350.4983,1.112546481,1.36467914,-2.094081095,-0.735146776,-0.139638002,-2.202944415,-2.56901474,-0.369512281,0.751446238,0.799736799,-0.380840795,0.885840759,0.740025039,0.087922446,1.38495441,1.136942763,2,6
43350.46047,-1.186103273,-0.412246823,0.532274793,0.263693952,0.733099509,-1.358257139,-0.598911412,-1.689198999,-0.609869411,-1.397342319,0.677050302,0.885840759,0.740025039,0.734411018,0.183241528,1.095390675,0,7
