s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score,numPredictors
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s4,1.14553495,-0.049887024,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s6,0.673191394,0.380423355,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s7,0.598621526,0.158345911,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s8,0.868256122,-0.048646403,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s9,0.816501872,0.068990914,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,qc,0.808001621,-0.185765502,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,c1,0.938529144,0.117099755,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,c2,0.631882234,0.40597763,1
n,n,n,n,n,y,n,n,n,n,n,n,n,n,c3,0.909719689,0.177425503,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s0,1.112989151,-0.151656331,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s1,1.272571677,-0.219921344,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s2,0.96869184,-0.342109392,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s3,1.046739051,-0.05836742,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s4,1.247123383,0.009952703,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s5,0.824127816,0.147575353,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s7,0.479459965,-0.092401585,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s8,0.721646602,-0.143051875,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s9,1.032254833,-0.269717414,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,qc,1.127733959,-0.113474499,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,c1,0.845554159,0.176896544,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,c2,0.803275344,0.123490915,1
n,n,n,n,n,n,y,n,n,n,n,n,n,n,c3,0.715939392,0.232761974,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s0,1.030689577,-0.042620716,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s1,0.844771508,0.148811524,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s2,1.007143011,0.19728289,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s3,0.999957746,0.000894705,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s4,1.056130867,0.049196271,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s5,0.674503848,0.260827291,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s6,1.174289543,0.030995709,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s8,0.555188009,0.27016625,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s9,0.731470887,0.156220179,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,qc,1.046895128,-0.024695531,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,c1,0.664700687,0.202739612,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,c2,0.989738004,-0.018154802,1
n,n,n,n,n,n,n,y,n,n,n,n,n,n,c3,1.079697161,0.003922398,1
