s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score,numPredictors
n,n,n,n,n,n,n,y,n,n,n,n,y,n,s9,0.696050967,0.229285163,2
n,n,n,n,n,n,n,y,n,n,n,n,y,n,qc,1.074696676,-0.205316247,2
n,n,n,n,n,n,n,y,n,n,n,n,y,n,c1,0.765801681,0.208656491,2
n,n,n,n,n,n,n,y,n,n,n,n,y,n,c3,0.809503213,0.207233069,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s0,1.014321706,0.1486533,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s1,0.822718264,-0.038949794,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s2,0.732330486,0.326406893,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s3,0.705454896,0.317470023,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s4,0.976574268,-0.020338685,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s5,0.66859914,0.185985541,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s6,0.607768267,0.137288616,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s8,0.982710059,-0.143980215,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,s9,0.556725379,0.259990961,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,qc,1.049038087,-0.01817088,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,c1,0.230422599,0.761892103,2
n,n,n,n,n,n,n,y,n,n,n,n,n,y,c2,0.316267254,0.731588114,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,s1,0.888827081,0.205058039,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,s2,0.953251979,-0.045568159,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,s3,1.130561423,0.170126892,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,s4,1.105031843,0.029334248,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,s5,0.922459272,-0.081127212,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,s6,1.008643848,-0.082132044,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,s7,0.793688618,0.133053395,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,qc,1.1510333,-0.237318174,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,c1,0.359544868,0.593436173,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,c2,0.790497711,0.313867534,2
n,n,n,n,n,n,n,n,y,y,n,n,n,n,c3,1.132135112,-0.044454378,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s0,0.864048611,-0.012953933,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s1,0.712983982,0.379156342,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s2,0.891535805,0.148108739,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s3,0.629646756,0.40249104,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s4,0.846961029,0.082987639,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s5,1.409199425,-0.394367885,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s6,0.664041267,0.069047451,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s7,0.755617822,0.391285532,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,s9,0.224061006,0.80211427,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,c1,0.467070489,0.346413194,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,c2,0.931475271,0.087848972,2
n,n,n,n,n,n,n,n,y,n,y,n,n,n,c3,0.854670258,0.162999842,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s0,0.528878288,0.45274756,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s1,0.777811883,0.181276034,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s2,0.805255575,0.171689748,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s3,0.646251009,0.337234981,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s4,0.901233345,-0.01613822,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s5,0.558533059,0.425839116,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s6,0.625885908,0.302140435,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s7,0.758001586,0.41841593,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,s9,0.713584572,0.358805043,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,qc,1.060342117,-0.141716323,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,c1,0.526840983,0.262774413,2
n,n,n,n,n,n,n,n,y,n,n,n,y,n,c3,0.447364726,0.543629616,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s0,0.890538287,0.179517384,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s1,0.758796509,0.248377027,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s2,0.580199264,0.459957811,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s3,0.915872842,0.120997789,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s4,1.010997314,0.177973251,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s5,0.604816094,0.444021924,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s6,0.921703275,0.12833607,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s7,0.879332091,0.163869647,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,s9,0.48090018,0.586658773,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,qc,0.918049858,-0.047620255,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,c1,0.300982074,0.688979253,2
n,n,n,n,n,n,n,n,y,n,n,n,n,y,c2,0.52893747,0.519033229,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s0,0.838056188,0.115957236,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s1,0.927977213,-0.021214205,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s2,0.752128368,0.136520975,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s3,0.892892192,0.013852103,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s4,0.673756211,0.181981841,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s5,0.7326069,0.15518971,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s6,1.002446,0.102024212,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s7,1.008846791,0.27970581,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,s8,0.389438255,0.643337577,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,c1,0.25823163,0.722037037,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,c2,0.368588575,0.639058107,2
n,n,n,n,n,n,n,n,n,y,y,n,n,n,c3,0.666099565,0.116639006,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s0,0.695112603,0.336455456,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s1,0.699636697,0.258834136,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s2,0.647910388,0.085378972,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s3,0.683147877,0.299895341,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s4,0.82734594,0.263276019,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s5,0.853710225,0.289408282,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s6,0.740856029,0.266963089,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s7,0.648514474,0.339845654,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,s8,0.47877641,0.544798809,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,qc,0.930402904,-0.273143456,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,c1,0.465308826,0.401267444,2
n,n,n,n,n,n,n,n,n,y,n,n,y,n,c3,0.199471099,0.707429484,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s0,0.678215213,0.027165458,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s1,1.198845807,0.041197796,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s2,0.616820699,0.348303588,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s3,1.021696503,0.175884116,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s4,0.902820618,0.123436407,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s5,0.534998655,0.462149488,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s6,0.687027583,0.404796563,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s7,0.920685953,-0.1185619,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,s8,0.460304356,0.559653129,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,qc,1.382020938,-0.12365611,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,c1,0.010945359,0.989059862,2
n,n,n,n,n,n,n,n,n,y,n,n,n,y,c2,0.113253914,0.883494404,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s1,1.466228384,-0.189421622,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s2,0.628615958,0.403302924,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s3,0.874519711,0.126225806,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s4,0.740716919,0.349350384,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s5,0.880704932,0.141678148,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s6,0.759642503,0.166227016,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s7,0.775693508,-0.463325165,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s8,0.66886365,0.464238536,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,s9,1.317762487,-0.180507434,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,c1,0.433009431,0.55254838,2
n,n,n,n,n,n,n,n,n,n,y,n,y,n,c3,0.435010727,0.533819796,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s1,0.602209494,0.130614263,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s2,0.814139473,0.074425838,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s3,1.134088826,-0.146687575,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s4,0.50194765,0.411474015,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s5,1.598748549,-0.647700116,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s6,1.171260972,0.033494836,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s7,1.243122549,-0.389227282,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s8,1.03314712,0.154932203,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,s9,1.119819896,0.020474388,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,c1,0.387330905,0.630451387,2
n,n,n,n,n,n,n,n,n,n,y,n,n,y,c2,0.382740475,0.661050254,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s1,0.78495484,0.242317925,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s2,0.528939804,0.444606911,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s3,0.985579355,0.109458669,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s4,0.85256437,0.264500696,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s5,0.58688384,0.181767698,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s6,0.701206969,0.271527782,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s7,0.551202841,0.428290467,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s8,0.823917712,0.036518077,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,s9,0.332157299,0.539944272,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,qc,0.943847711,-0.009630335,2
n,n,n,n,n,n,n,n,n,n,n,n,y,y,c1,2.59E-32,1,2
y,n,n,n,n,n,n,n,n,n,y,n,y,n,s2,0.56664653,0.359301652,3
n,y,n,n,n,n,n,n,n,n,y,n,y,n,s2,0.62251917,0.479650485,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,s5,1.782617459,-0.395268365,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,s6,0.913835581,-0.375181128,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,s7,0.863889467,-0.315835481,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,s8,1.022801601,-0.379742266,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,s9,1.013024466,0.064240444,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,qc,0.910374209,-0.138055359,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,c2,0.31057949,0.680503327,3
n,n,y,y,y,n,n,n,n,n,n,n,n,n,c3,0.706262321,0.279520293,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,s4,0.881842076,0.087259187,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,s6,0.848966869,0.120498215,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,s7,1.272818674,-0.107826893,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,s8,1.195445244,-0.859235877,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,s9,1.229785639,-0.508000634,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,qc,1.100933851,-0.32117503,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,c2,0.485305421,0.52476265,3
n,n,y,y,n,y,n,n,n,n,n,n,n,n,c3,1.105259976,-0.184454287,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,s4,0.49109409,0.512877763,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,s5,0.866681356,0.298391673,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,s7,1.364386367,-0.329633959,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,s8,1.59344197,-0.220692502,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,s9,1.073959422,0.112887766,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,qc,1.138354286,-0.004071568,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,c2,0.332569779,0.687356476,3
n,n,y,y,n,n,y,n,n,n,n,n,n,n,c3,0.736465993,0.248708606,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,s4,0.713658628,0.093752038,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,s5,0.87440132,0.232741434,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,s6,0.676354432,0.105313277,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,s8,1.118472146,0.030781913,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,s9,0.712284638,0.154524472,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,qc,1.811225995,-0.762493598,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,c2,0.143476702,0.852403877,3
n,n,y,y,n,n,n,y,n,n,n,n,n,n,c3,0.952633478,-0.020891764,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,s4,0.98467869,-0.054585045,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,s5,0.981100135,-0.060689801,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,s6,1.05460088,-0.06927054,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,s7,1.132845002,-0.512609956,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,s9,0.432051513,0.60090171,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,qc,1.4230023,-0.121484907,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,c2,0.085476653,0.912069189,3
n,n,y,y,n,n,n,n,y,n,n,n,n,n,c3,0.515079025,0.448014429,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,s4,0.724985005,0.125990795,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,s5,0.937651442,-0.117857127,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,s6,0.770229701,-0.003578154,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,s7,1.155860937,-0.070606301,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,s8,0.602337081,0.174491238,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,qc,0.946709441,0.01012219,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,c2,0.373798689,0.648597838,3
n,n,y,y,n,n,n,n,n,y,n,n,n,n,c3,0.567327453,0.444401904,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,s4,0.655669581,0.422708227,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,s5,0.987759097,-0.206246833,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,s6,0.582813361,0.42641328,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,s7,1.815340558,-0.657183092,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,s8,0.686423318,0.337599421,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,s9,0.717933266,0.449851259,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,c2,0.297334317,0.621484375,3
n,n,y,y,n,n,n,n,n,n,y,n,n,n,c3,0.983653027,0.068220899,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,s4,0.774053076,0.106362804,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,s5,0.949105087,0.026333032,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,s6,1.201233756,-0.040683778,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,s7,0.754352044,0.176020762,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,s8,1.590857873,-0.031611839,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,s9,1.098277506,-0.346741353,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,qc,1.423406158,-0.355179314,3
n,n,y,y,n,n,n,n,n,n,n,n,y,n,c3,0.996877692,0.023732512,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,s4,1.130720557,0.093173878,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,s5,0.501930073,0.087230532,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,s6,0.997673421,0.095875651,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,s7,1.233608467,0.006223384,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,s8,1.222852533,-0.421391237,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,s9,0.704157466,0.384061424,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,qc,0.970690022,-0.058527652,3
n,n,y,y,n,n,n,n,n,n,n,n,n,y,c2,0.234450603,0.758817984,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,s3,0.889298231,0.042136425,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,s6,0.774896648,0.176426462,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,s7,1.159476121,-0.331943984,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,s8,1.068486485,-0.012138782,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,s9,0.97970889,0.122335293,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,qc,1.164694053,-0.21778654,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,c2,0.483184743,0.580607591,3
n,n,y,n,y,y,n,n,n,n,n,n,n,n,c3,0.750313607,0.195924771,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,s3,1.150642412,-0.371007122,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,s5,0.829506966,-0.038251662,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,s7,1.157746064,-0.05688004,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,s8,1.147075822,-0.507911978,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,s9,1.543124879,-0.444539041,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,qc,1.213295028,-0.228365827,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,c2,1.058957237,-0.239618165,3
n,n,y,n,y,n,y,n,n,n,n,n,n,n,c3,0.645893324,0.341104545,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,s3,1.037137688,-0.025548443,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,s5,0.658037133,0.393988495,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,s6,0.670745158,0.219708688,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,s8,0.815831904,0.045973548,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,s9,1.788679347,-1.211610909,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,qc,0.85826121,-0.023710646,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,c2,0.682450794,0.379442423,3
n,n,y,n,y,n,n,y,n,n,n,n,n,n,c3,0.727118118,0.035718057,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,s3,1.250965331,-0.157283968,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,s5,0.933223067,-0.207204121,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,s6,1.125725352,-0.107165646,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,s7,1.410377782,-0.277576113,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,s9,0.450368592,0.390440693,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,qc,1.716118903,-0.327298422,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,c2,0.509312421,0.536878432,3
n,n,y,n,y,n,n,n,y,n,n,n,n,n,c3,0.85753051,0.160198725,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,s3,0.869067656,0.234017438,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,s5,1.227584514,-0.000224893,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,s6,1.077344499,0.15040959,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,s7,0.600976297,-0.141580709,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,s8,0.41561727,0.353604406,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,qc,1.141664409,-0.147828551,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,c2,0.391483915,0.572824922,3
n,n,y,n,y,n,n,n,n,y,n,n,n,n,c3,0.467191973,0.583478459,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,s3,0.567103908,0.39997524,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,s5,0.823675025,-0.13887548,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,s6,0.873351964,0.208053674,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,s7,1.286267628,-0.057958211,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,s8,0.784985022,0.249049691,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,s9,0.545523736,0.413467552,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,c2,0.405735025,0.602682292,3
n,n,y,n,y,n,n,n,n,n,y,n,n,n,c3,0.830161036,0.213618337,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,s3,0.902305521,0.228864472,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,s5,0.747904771,0.160688982,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,s6,1.099473713,-0.211269828,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,s7,1.12294699,0.077296109,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,s8,1.036792072,0.141043412,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,s9,0.915037355,0.057169097,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,qc,0.861732307,-0.112507446,3
n,n,y,n,y,n,n,n,n,n,n,n,y,n,c3,0.735970987,0.249213577,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,s3,1.324731685,-0.353748472,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,s5,0.857010943,0.279491669,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,s6,0.976025704,0.034275434,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,s7,1.221078942,-0.521727819,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,s8,0.98911422,0.139985298,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,s9,1.246805659,-0.127149448,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,qc,1.470251123,-0.356214888,3
n,n,y,n,y,n,n,n,n,n,n,n,n,y,c2,0.580725975,0.320200625,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,s3,0.719071565,-0.070980248,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,s4,1.012937148,0.016522432,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,s7,0.750151544,0.019075604,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,s8,1.235290353,-0.646274486,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,s9,1.172588956,-0.587061186,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,qc,1.447188652,-0.521056708,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,c2,0.305042812,0.713234137,3
n,n,y,n,n,y,y,n,n,n,n,n,n,n,c3,0.8231321,0.266142677,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,s3,0.974688098,-0.47463939,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,s4,0.796046083,0.00260061,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,s6,0.905410851,0.189438659,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,s8,0.887382817,0.224074649,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,s9,1.14789079,0.076872523,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,qc,0.992094147,-0.143764648,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,c2,0.256950207,0.758445224,3
n,n,y,n,n,y,n,y,n,n,n,n,n,n,c3,0.51136825,0.451991089,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,s3,0.864638873,0.045056263,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,s4,0.621695939,0.267417189,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,s6,0.783383674,0.27900708,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,s7,0.6716493,0.228445305,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,s9,0.574262442,0.514843837,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,qc,1.387117679,0.032610853,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,c2,0.425263763,0.63088157,3
n,n,y,n,n,y,n,n,y,n,n,n,n,n,c3,0.263241601,0.700768849,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,s3,0.939262681,0.079474503,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,s4,1.106613203,0.054013917,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,s6,0.830744218,0.079978397,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,s7,1.02706613,0.178244789,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,s8,0.438821266,0.536619476,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,qc,1.481114407,-0.276746141,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,c2,0.435648906,0.306757124,3
n,n,y,n,n,y,n,n,n,y,n,n,n,n,c3,0.546968125,0.413840404,3
n,n,y,n,n,y,n,n,n,n,y,n,n,n,s3,0.554595379,0.309389275,3
n,n,y,n,n,y,n,n,n,n,y,n,n,n,s4,0.586164601,0.440983975,3
n,n,y,n,n,y,n,n,n,n,y,n,n,n,s6,0.855883069,0.180077803,3
n,n,y,n,n,y,n,n,n,n,y,n,n,n,s7,0.855748263,0.222259669,3
n,n,y,n,n,y,n,n,n,n,y,n,n,n,s8,0.990970143,-0.309380579,3
