s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score
n,n,n,n,y,n,n,n,n,n,n,n,n,n,c2,1.038455657879481,-0.047947381317941185
n,n,n,n,y,n,n,n,n,n,n,n,n,n,c3,1.1425510585310188,-0.009704361853504206
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s0,0.9034048907047144,0.19169908836841743
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s1,0.7698120630196578,0.002169287050999169
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s2,0.9386501664321651,0.12150373291522286
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s3,0.8266910196402558,0.29348673877559217
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s4,0.9813041273654557,-0.2173515273480371
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s6,0.6122273419439471,0.24177637342566483
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s7,0.8181808705068169,0.10152773080648203
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s8,0.8506147439962937,0.19522951348441475
n,n,n,n,n,y,n,n,n,n,n,n,n,n,s9,1.1487075861272034,0.011952401572241643
n,n,n,n,n,y,n,n,n,n,n,n,n,n,qc,1.3962302356160134,0.013928051319998191
n,n,n,n,n,y,n,n,n,n,n,n,n,n,c1,0.993645890238722,-0.11495442007486201
n,n,n,n,n,y,n,n,n,n,n,n,n,n,c2,1.4188905425581289,-0.14989334426461265
n,n,n,n,n,y,n,n,n,n,n,n,n,n,c3,0.7506824100242022,0.0634366143352415
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s0,0.972651388073927,0.15821847270503164
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s1,0.9961147251050831,0.030761370994203504
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s2,0.8094521172826932,0.22336593705533103
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s3,1.4998637905905345,0.0369110475491502
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s4,1.0058173314922414,0.060304989917246976
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s5,0.7543855905138264,0.2693976856302658
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s7,0.4779588345755607,-0.08898140869695559
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s8,1.0397482610755628,0.0053322586979513975
n,n,n,n,n,n,y,n,n,n,n,n,n,n,s9,0.6758953292641446,0.1095652130169904
n,n,n,n,n,n,y,n,n,n,n,n,n,n,qc,0.8468742631261755,-0.10192541366200158
n,n,n,n,n,n,y,n,n,n,n,n,n,n,c1,1.0593385645182807,-0.01885754541646767
n,n,n,n,n,n,y,n,n,n,n,n,n,n,c2,1.2159835977664855,-0.14383060531387604
n,n,n,n,n,n,y,n,n,n,n,n,n,n,c3,1.4415878248087701,-0.12720061219622614
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s0,0.8194357563888937,0.19510526176906573
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s1,0.8374639083715906,0.15382545231068312
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s2,1.051449116949195,0.08553714592868411
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s3,0.7771830086612687,0.25807186462808895
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s4,0.9176459123278132,-0.04214076102468045
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s5,0.6425901902913199,0.24290310983925134
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s6,0.8110253296771651,0.1975343664607484
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s8,0.8973598831372167,-0.04462342962276189
n,n,n,n,n,n,n,y,n,n,n,n,n,n,s9,1.31540262305533,-0.018506987439624423
n,n,n,n,n,n,n,y,n,n,n,n,n,n,qc,0.7943099549761458,2.40834554554592e-06
n,n,n,n,n,n,n,y,n,n,n,n,n,n,c1,0.9055493530956459,-0.7931223796449409
n,n,n,n,n,n,n,y,n,n,n,n,n,n,c2,1.051682002290456,-0.44269737074205096
n,n,n,n,n,n,n,y,n,n,n,n,n,n,c3,0.804001474053916,-0.003085103053254379
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s0,0.8703025379016528,0.04089003640878697
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s1,0.8550436097694117,0.1711372701974465
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s2,1.0612548086748184,-0.20358478092978616
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s3,0.9328121521081513,0.049461784665164155
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s4,0.8627096064041122,-0.20005050252877732
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s5,1.0765875324645122,-0.07212588028538613
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s6,1.0283042631725514,0.00651999827928651
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s7,0.7637896464905589,0.3717811826663648
n,n,n,n,n,n,n,n,y,n,n,n,n,n,s9,0.6659252885046238,0.4483967945683021
n,n,n,n,n,n,n,n,y,n,n,n,n,n,qc,0.9057793248984901,0.007874011593899666
n,n,n,n,n,n,n,n,y,n,n,n,n,n,c1,0.9281523763459131,-0.04146517856702614
n,n,n,n,n,n,n,n,y,n,n,n,n,n,c2,1.199993278163919,-0.06417828136421377
n,n,n,n,n,n,n,n,y,n,n,n,n,n,c3,1.1332210262816644,-0.0014591511138466462
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s0,0.8430284624703056,0.06810607351151676
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s1,0.7986591971245288,0.12109682721187219
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s2,1.0558845848303633,0.027367837942227854
n,n,n,n,n,n,n,n,n,y,n,n,n,n,s3,0.7389540308893309,0.18699486134063426
