11
u,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score
-,-,-,-,-,-,+,-,-,-,-,-,s2,0.974841432598874,-0.05930191195524137
-,-,-,-,-,-,+,-,-,-,-,-,s3,0.7884926998974483,0.14558634922148628
-,-,-,-,-,-,+,-,-,-,-,-,s4,1.104674078899752,0.006920392219114557
-,-,-,-,-,-,+,-,-,-,-,-,s6,0.7380880626942699,0.35640587559078196
-,-,-,-,-,-,+,-,-,-,-,-,s7,0.9023970838531682,0.1641624242992895
-,-,-,-,-,-,+,-,-,-,-,-,s8,0.6925164558105309,0.19383635402789978
-,-,-,-,-,-,+,-,-,-,-,-,s9,1.1826332445584966,0.06973151717323134
-,-,-,-,-,-,+,-,-,-,-,-,qc,1.6292609621290437,-0.15290537238280777
-,-,-,-,-,-,-,+,-,-,-,-,user,1.0063796140952086,-0.03123070073108402
-,-,-,-,-,-,-,+,-,-,-,-,s0,0.7586626164865106,0.16392192039236264
-,-,-,-,-,-,-,+,-,-,-,-,s1,1.126894533810934,-0.005879794188059062
-,-,-,-,-,-,-,+,-,-,-,-,s2,0.8128663451961585,0.25269826913480986
-,-,-,-,-,-,-,+,-,-,-,-,s3,1.0476517751596661,-0.013606605238519308
-,-,-,-,-,-,-,+,-,-,-,-,s4,0.8997899241760664,0.08874315691318568
-,-,-,-,-,-,-,+,-,-,-,-,s5,0.8404561832900166,0.2263467177076146
-,-,-,-,-,-,-,+,-,-,-,-,s7,1.0353192662100723,0.006356381302191405
-,-,-,-,-,-,-,+,-,-,-,-,s8,1.142693057550958,0.00979315121317792
-,-,-,-,-,-,-,+,-,-,-,-,s9,0.7686015286806546,-0.03203979305965987
-,-,-,-,-,-,-,+,-,-,-,-,qc,1.2549069765089538,-0.12348492045298864
-,-,-,-,-,-,-,-,+,-,-,-,user,0.985370622244408,-0.0963942510976055
-,-,-,-,-,-,-,-,+,-,-,-,s0,0.6768920880408601,0.05041642261697821
-,-,-,-,-,-,-,-,+,-,-,-,s1,0.7659220794820778,0.2295432813830487
-,-,-,-,-,-,-,-,+,-,-,-,s2,1.0839626036287182,0.13123967895591104
-,-,-,-,-,-,-,-,+,-,-,-,s3,0.9734988411896284,0.1971710078940836
-,-,-,-,-,-,-,-,+,-,-,-,s4,1.0681969294202773,0.0885112434860087
-,-,-,-,-,-,-,-,+,-,-,-,s5,0.8014597917887931,0.18114662032165918
-,-,-,-,-,-,-,-,+,-,-,-,s6,0.9015477680826647,0.06602613111570121
-,-,-,-,-,-,-,-,+,-,-,-,s8,0.8481231425313694,0.24473322498011996
-,-,-,-,-,-,-,-,+,-,-,-,s9,0.5993658537321769,0.32692342817269615
-,-,-,-,-,-,-,-,+,-,-,-,qc,1.1897817141106817,0.019269982445286216
-,-,-,-,-,-,-,-,-,+,-,-,user,1.0816047863935163,-0.06570762179938931
-,-,-,-,-,-,-,-,-,+,-,-,s0,0.6679100872772179,0.19164292448918985
-,-,-,-,-,-,-,-,-,+,-,-,s1,0.7360421090705878,-0.18306582693826146
-,-,-,-,-,-,-,-,-,+,-,-,s2,1.1543243845769826,-0.02736034658638631
-,-,-,-,-,-,-,-,-,+,-,-,s3,1.0172992404922767,0.052165611552741124
-,-,-,-,-,-,-,-,-,+,-,-,s4,1.1327315462313392,-0.008659684203073725
-,-,-,-,-,-,-,-,-,+,-,-,s5,1.0072883735248703,0.0911111676718499
-,-,-,-,-,-,-,-,-,+,-,-,s6,1.5431362920123237,-0.01157187585663566
-,-,-,-,-,-,-,-,-,+,-,-,s7,1.0363372394125854,-0.003992775767048817
-,-,-,-,-,-,-,-,-,+,-,-,s9,0.580992614200184,0.5635233768700483
-,-,-,-,-,-,-,-,-,+,-,-,qc,0.894247365819374,-0.18566173836700628
-,-,-,-,-,-,-,-,-,-,+,-,user,0.9232533756790436,0.008846517911901917
-,-,-,-,-,-,-,-,-,-,+,-,s0,0.5627527063179111,0.3798228728189278
-,-,-,-,-,-,-,-,-,-,+,-,s1,0.6023863098259801,0.2906302817968114
-,-,-,-,-,-,-,-,-,-,+,-,s2,0.9644981724108149,-0.04502464707293563
-,-,-,-,-,-,-,-,-,-,+,-,s3,1.0351066175754384,-0.2800862869904195
-,-,-,-,-,-,-,-,-,-,+,-,s4,1.3541614134872197,-0.2551625368052608
-,-,-,-,-,-,-,-,-,-,+,-,s5,1.041939566763192,0.046126332319252894
-,-,-,-,-,-,-,-,-,-,+,-,s6,0.8792040193254701,-0.026841560850332957
-,-,-,-,-,-,-,-,-,-,+,-,s7,0.8121244483290017,0.20856124662407705
-,-,-,-,-,-,-,-,-,-,+,-,s8,0.22464907831655853,0.5669665352360995
-,-,-,-,-,-,-,-,-,-,+,-,qc,1.1081365448485425,-0.04517503183328753
-,-,-,-,-,-,-,-,-,-,-,+,user,0.6420509007942997,0.34876219719377316
-,-,-,-,-,-,-,-,-,-,-,+,s0,1.3133628343545478,-0.1712359618819792
-,-,-,-,-,-,-,-,-,-,-,+,s1,0.6259651256726715,0.3578706869331709
-,-,-,-,-,-,-,-,-,-,-,+,s2,1.0053170972469758,-0.043866084121926274
